$movie_id$movie_title$comment_user$comment_time$comment_vote$comment_text
0$35288735$TME Live 吴青峰「16叶」线上演唱会$莱克尔博德$2020-12-21 11:33:58$8$"我们在听吴青峰的时候，听的是什么？是丢掉脆弱的自己，站在外人面前，嬉皮笑脸的勇敢。是沉浸在热爱中，并没想过会获得多少喜欢，甚至对喜欢有本能害怕的柔软。小心翼翼保护的，是纯粹的自己。所以你去听「柔软」，听「最难的是相遇」，亦或是「蔓延」，总有种脆弱的，但是强迫症般的精益求精在操纵着，是独属于吴青峰的魅力。"
51$35288735$TME Live 吴青峰「16叶」线上演唱会$Miss Q$2021-04-14 13:17:10$0$后半场唱了很多我很喜欢的经典歌，《别找我麻烦》、《蔓延》、《一点点》太好听太好听了。
52$35288735$TME Live 吴青峰「16叶」线上演唱会$零星小雨$2021-09-05 17:20:08$0$只能说绝美啊（我什么时候能看到现场）
53$35288735$TME Live 吴青峰「16叶」线上演唱会$momo$2021-01-04 22:33:56$0$专辑里无感的歌曲live都香了，歌手玩疯了，观众听疯了。语汇贫瘠只能大呼牛逼。
54$35288735$TME Live 吴青峰「16叶」线上演唱会$Mr.Q$2021-04-14 13:20:19$0$没想到能听到青峰唱《蔓延》，太好听太好听了！
55$35288735$TME Live 吴青峰「16叶」线上演唱会$风和日丽$2021-01-09 11:40:27$0$半夜一点多看的，居然还有点感动。
56$35288735$TME Live 吴青峰「16叶」线上演唱会$九路巴士夜间线$2020-12-30 00:09:04$0$是你就好啦。
57$35288735$TME Live 吴青峰「16叶」线上演唱会$淘淘0223$2021-01-21 10:17:04$0$个性分明，这就是青轰！
58$35288735$TME Live 吴青峰「16叶」线上演唱会$imyichen$2022-04-22 21:32:18$0$还得是你哥
59$35288735$TME Live 吴青峰「16叶」线上演唱会$格林在左边$2021-01-04 20:59:07$0$「遗忘是记得的远道而来」//&lt;你的影子是我的海&gt;现场版比录音室棒太多了，&lt;太空人&gt;前奏一出来就绷不住了，&lt;沙滩上的佛洛一德&gt;&lt;阿兹海默&gt;&lt;低低星垂&gt;&lt;迷幻&gt;&lt;一点点&gt;太适合现场了！如果有&lt;等&gt;就更好了//舞美一绝，吴青峰还是吴青峰//小洋好帅我大哭//不知道《太空备忘记》漂流到哪里了，再遇见之前，只能每天看一遍来缓解思念了
60$35288735$TME Live 吴青峰「16叶」线上演唱会$星星点灯$2021-03-26 17:05:34$0$现场比录音室版强
61$35288735$TME Live 吴青峰「16叶」线上演唱会$Nome$2021-03-08 22:08:09$0$吴青峰永远的神
62$35288735$TME Live 吴青峰「16叶」线上演唱会$秩、$2021-04-23 11:00:37$0$躺床上把这个又看了一遍，起床。云门剧场专辑发货啦嘻嘻。
63$35288735$TME Live 吴青峰「16叶」线上演唱会$avo$2020-12-23 00:29:37$0$现场一如既往的很稳，而且舞美真的很惊艳
64$35288735$TME Live 吴青峰「16叶」线上演唱会$水漫乌托邦🍒$2022-03-20 16:26:57$0$治愈的阴天下午。它确实成为我回忆的一部分了呜呜呜青峰唱了一些没预料到的歌。“或许我们会再相遇，当你鼓起勇气飞行。”
65$35288735$TME Live 吴青峰「16叶」线上演唱会$奶绿包$2021-03-13 00:50:01$0$是和贾一起看的！这一天，我第一次告诉他我有男朋友了——
66$35288735$TME Live 吴青峰「16叶」线上演唱会$YD_$2020-12-24 23:37:57$0$绝美作品
67$35288735$TME Live 吴青峰「16叶」线上演唱会$心上山水$2021-01-10 10:48:54$0$🥳
68$35288735$TME Live 吴青峰「16叶」线上演唱会$食不食猫山$2020-12-24 14:41:57$1$时间好快像梦一场[泪]好美的舞台 好漂亮的宝贝 好绝的歌唱有有可爱猫咪又感动狂戳泪点不愧是你吴青峰你值得 你就是天生的歌颂者呜呜太空人降落陆地拾起册叶集结成册贪心如我真的还想看encore哈哈哈当今快节奏的世界还能有人这么用心做着专辑做近乎赔本的演唱会只为彼此交流音乐 从舞美到选曲都尽心尽力喜欢歌颂者真的很值得
69$35288735$TME Live 吴青峰「16叶」线上演唱会$醉歌$2020-12-25 16:57:58$2$低低星垂的live版本更让人感动
70$35288735$TME Live 吴青峰「16叶」线上演唱会$大佑的昨日遗书$2021-05-07 22:13:31$0$门票设计成图书馆借阅卡简直感动😭
71$35288735$TME Live 吴青峰「16叶」线上演唱会$斑比比$2020-12-23 19:18:56$0$看完更想看个现场了
72$35288735$TME Live 吴青峰「16叶」线上演唱会$Rose Color$2021-01-29 15:27:53$0$2020.12.20。广州天河电影院。
73$35288735$TME Live 吴青峰「16叶」线上演唱会$已注销$2020-12-20 22:18:31$0$这是我听的第二个演唱会，第一个直播，希望有一天我也能去听一场线下演唱会。
74$35288735$TME Live 吴青峰「16叶」线上演唱会$茉莉拿铁不加糖$2020-12-20 22:23:01$0$感谢你陪伴的第8年
75$35288735$TME Live 吴青峰「16叶」线上演唱会$十岁不知畏$2021-06-27 17:54:08$0$嘿嘿居然在学校上晚自习时还能瞟一眼直播
76$35288735$TME Live 吴青峰「16叶」线上演唱会$green$2020-12-23 16:49:57$0$live好棒👍🏻
77$35288735$TME Live 吴青峰「16叶」线上演唱会$white bbbbb$2020-12-23 13:02:13$0$非常棒，吴青峰live很稳
78$35288735$TME Live 吴青峰「16叶」线上演唱会$IAmWhatIAm$2021-09-19 16:45:14$0$補
79$35288735$TME Live 吴青峰「16叶」线上演唱会$ε๑⍥๑з$2020-12-21 14:28:00$1$真的好喜欢你啊 我永远的栖息地
80$35288735$TME Live 吴青峰「16叶」线上演唱会$🐰$2021-05-29 15:21:54$0$嗯哼  看完了感觉晕乎乎，太棒了
81$35288735$TME Live 吴青峰「16叶」线上演唱会$白熊$2021-02-16 17:26:07$0$总有一天我可以走到livehouse去的！
82$35288735$TME Live 吴青峰「16叶」线上演唱会$魚丁糸儿$2021-01-01 23:10:09$0$双向奔赴的爱 我永远喜欢吴青峰❤️
83$35288735$TME Live 吴青峰「16叶」线上演唱会$薄荷味的苏打$2020-12-24 18:48:19$0$每首歌都好爱(⑉°з°)-♡
84$35288735$TME Live 吴青峰「16叶」线上演唱会$七荤八素$2021-11-01 22:00:12$0$好😭
85$35288735$TME Live 吴青峰「16叶」线上演唱会$Takeshi$2020-12-21 19:40:08$3$青峰的演唱会不会让人失望的！
86$35288735$TME Live 吴青峰「16叶」线上演唱会$shulei540.o$2020-12-24 17:32:12$0$很好听 很满足呀！
87$35288735$TME Live 吴青峰「16叶」线上演唱会$和平渠道边的夏$2020-12-26 00:41:24$0$和听CD没有区别，现场太稳了
88$35288735$TME Live 吴青峰「16叶」线上演唱会$惠山huishan$2023-02-17 00:23:07$0$（补记）
89$35288735$TME Live 吴青峰「16叶」线上演唱会$基德$2020-12-20 21:30:59$0$《最难的是相遇》太好听了呜呜呜
90$35288735$TME Live 吴青峰「16叶」线上演唱会$鱼麻烦$2021-02-15 23:47:19$0$简直不要太震撼 完全沉沦与歌声和细腻的情感之中。
91$35288735$TME Live 吴青峰「16叶」线上演唱会$幺幺$2020-12-22 00:07:37$0$💚
92$35288735$TME Live 吴青峰「16叶」线上演唱会$小兔子$2020-12-26 10:35:30$1$非常好聽，真想去現場看啊！！
93$35288735$TME Live 吴青峰「16叶」线上演唱会$十鹏之龟$2020-12-21 23:28:51$0$想不到有一天还能在宿舍听到吴青峰演唱会直播，算是大陆歌迷的无奈之举吧qaq 
94$35288735$TME Live 吴青峰「16叶」线上演唱会$想吃掉月亮🌙$2020-12-22 19:51:55$0$吴青峰就没让人失望过！
95$35288735$TME Live 吴青峰「16叶」线上演唱会$噜啦啦噜啦啦$2020-12-24 21:27:04$0$live永远爱，终于有影海的现场了，现场永远比录音室的精彩！！
96$35288735$TME Live 吴青峰「16叶」线上演唱会$Yuft0606$2020-12-24 19:54:28$0$青峰葛格
97$35288735$TME Live 吴青峰「16叶」线上演唱会$气泡水$2020-12-31 00:41:06$0$青峰头上两个小犄角造型好可爱哦 很用心的一场演出
98$35288735$TME Live 吴青峰「16叶」线上演唱会$Revenn$2021-02-07 15:01:58$0$耳目一新清新怪异曲中温柔
99$35288735$TME Live 吴青峰「16叶」线上演唱会$仲夏夜的梦$2020-12-24 17:57:02$0$青峰是最棒的！！
100$35288735$TME Live 吴青峰「16叶」线上演唱会$仲夏夜的梦$2020-12-24 17:57:02$0$青峰是最棒的！！
101$35288735$TME Live 吴青峰「16叶」线上演唱会$旋转的星$2021-02-15 23:05:29$0$超棒der
102$35288735$TME Live 吴青峰「16叶」线上演唱会$上帝之狮不是我$2020-12-21 13:14:38$0$2020｜12.21｜寝室+朋友家｜啊啊｜喜欢青峰的造型 现场就是比光听歌强啊 可人儿好棒 可以认真的做一二十年音乐 唱到让我和他一起老去 太可爱了 好羡慕空谷幽兰有那么多朋友 伙伴 那么直给的表达感谢爱意 启示我建立亲密关系 自己也要加油 如果想要的话
103$35288735$TME Live 吴青峰「16叶」线上演唱会$归故湫.$2020-12-26 17:48:40$0$演唱会的感染力真的好大，不多说，有生之年一定要去一次现场
104$35288735$TME Live 吴青峰「16叶」线上演唱会$Eros_wu$2020-12-24 18:01:28$1$吴青峰的现场 当你看过后会觉得一切都是那么的值得 值得聆听 值得思考 值得歌颂 😍
105$35288735$TME Live 吴青峰「16叶」线上演唱会$Jiumy$2021-02-02 10:50:19$0$对疫情期间没法看到演唱会的我来说 册叶真的太惊喜了
106$35288735$TME Live 吴青峰「16叶」线上演唱会$豆友198758298$2020-12-21 11:56:36$0$用心精彩的演出
107$35288735$TME Live 吴青峰「16叶」线上演唱会$我来过$2020-12-28 01:06:54$0$真的是一场音乐盛宴，视听俱佳。
108$35288735$TME Live 吴青峰「16叶」线上演唱会$浪漫派$2020-12-28 11:23:04$0$是一次体验非常棒的线上音乐会，从歌单到舞台设计再到作为歌者的吴青峰以及乐队成员的完美表现都非常非常出色，太喜欢啦！
109$35288735$TME Live 吴青峰「16叶」线上演唱会$知晓$2020-12-29 10:12:14$0$每次看青峰的现场我就不得不感叹，要是什么时候内娱假唱属于违法行为就好了。不然对这些现场媲美CD甚至超越CD的歌手就太不公平了。
110$35288735$TME Live 吴青峰「16叶」线上演唱会$れい$2021-01-30 22:39:42$0$吧livehouse演出做成了演唱会的效果
111$35288735$TME Live 吴青峰「16叶」线上演唱会$yinsquarep2011$2020-12-21 12:29:45$0$Amazingly and artistically performed!
112$35288735$TME Live 吴青峰「16叶」线上演唱会$Wanderlust$2020-12-24 17:28:20$0$各方面都很惊艳，我峰和玮玮的合作爆炸
113$35288735$TME Live 吴青峰「16叶」线上演唱会$忧郁失踪$2021-01-29 19:46:27$0$影海 永远的催泪弹
114$35288735$TME Live 吴青峰「16叶」线上演唱会$灑落滿天的式微$2020-12-27 23:01:41$0$最难的是相遇，希望明年能有机会现场见。
115$35288735$TME Live 吴青峰「16叶」线上演唱会$ICE$2021-01-15 23:11:05$0$live 的小型现场 配上灯光特效 效果与演唱会有不一样的意味，通过线上演唱会的形式会对专辑有新的感觉 「我会我会」的温柔 让我种草了新歌！！日常羡慕湾湾听众
116$35288735$TME Live 吴青峰「16叶」线上演唱会$东百第一大西瓜$2020-12-22 23:53:05$0$好看，晚上赶着时间去看了全程，live真的好强，唱功强，歌强，唯一感官不好的就是弹幕上为什么乱刷地名……关弹幕会快乐一百倍。（还有虽然知道摄影的这几场没唱，但还是好想听下册的歌啊…不知道我什么时候能等到《等》和《极光》的live）
117$35288735$TME Live 吴青峰「16叶」线上演唱会$柏原崇$2021-03-18 12:40:46$0$谢谢你！！！
118$35288735$TME Live 吴青峰「16叶」线上演唱会$cellur$2021-02-26 05:02:54$0$没的说 太稳了我爱老吴
119$35288735$TME Live 吴青峰「16叶」线上演唱会$蝉想不响$2020-12-26 08:40:44$1$昨晚看完导致作业没写😍😍😍他的台风以及vj太有魅力了😍😍😍😍
120$35288735$TME Live 吴青峰「16叶」线上演唱会$西瓜与葡萄$2020-12-24 13:44:08$1$不看会后悔系列！是看过中最好看的一场线上演出。
121$35288735$TME Live 吴青峰「16叶」线上演唱会$不会玩wb的85后$2020-12-26 09:18:51$0$表现力很强，隔着屏幕都能被感染，唱歌很稳，能打败CD
122$35288735$TME Live 吴青峰「16叶」线上演唱会$trc$2020-12-22 00:33:39$0$无三个爱人😭
123$35288735$TME Live 吴青峰「16叶」线上演唱会$吴一鹤$2020-12-23 15:50:40$0$喜欢live大于专辑
124$35288735$TME Live 吴青峰「16叶」线上演唱会$六一乐$2021-03-17 13:21:35$0$喜欢阿兹海默
