$movie_id$movie_title$comment_user$comment_time$comment_vote$comment_text
0$11498192$齐天乐$乌子虚$2012-11-20 16:00:28$88$看得我好伤感。这才是真正的表演艺术家在表演艺术啊。
131$11498192$齐天乐$Niko$2015-11-03 22:02:11$1$无人能及的不朽经典！向剧组全体演职人员致以崇高敬意！
132$11498192$齐天乐$Q快快乐乐$2019-06-04 15:06:39$0$男走音，笑死我了，哈哈哈哈哈哈哈哈哈哈哈
133$11498192$齐天乐$华川$2016-02-11 15:49:26$1$一个剧组撑起一台晚会
134$11498192$齐天乐$红发安妮$2020-12-15 23:51:02$0$太好看了
135$11498192$齐天乐$一只Poe$2015-07-24 19:45:09$0$感动
136$11498192$齐天乐$装甲连小炮手$2022-02-28 21:25:46$0$虽然渣特效，可耐不住好看，经典，当初都是小鲜肉啊，《西游记》剧组的春节晚会，真的是演技精湛
137$11498192$齐天乐$臧淼$2020-10-13 23:12:05$0$未看
138$11498192$齐天乐$啦啦啦啦$2022-02-22 12:27:28$0$绝
139$11498192$齐天乐$豆友218037252$2023-01-29 22:25:22$0$这才是经典
140$11498192$齐天乐$海右风歌$2017-12-06 00:09:03$0$很喜欢很欢乐！
141$11498192$齐天乐$Lucid Dream$2022-02-03 20:16:32$0$春晚天花板
142$11498192$齐天乐$一望风月痕$2019-02-11 21:28:50$0$杨洁
143$11498192$齐天乐$米俊飞$2020-09-12 17:21:53$1$看过的最经典的春晚！！！
144$11498192$齐天乐$JeffTK$2018-01-06 21:25:31$1$这是真正的春晚
145$11498192$齐天乐$-$2022-06-15 14:21:48$0$我不明白这么好的艺术品都有人打一星二星
146$11498192$齐天乐$天亮了该起床了$2016-04-29 13:49:21$0$好玩
147$11498192$齐天乐$豆瓣猜错了$2015-08-02 15:53:27$0$好看！不是情怀不情怀，是节目好精彩！
148$11498192$齐天乐$雪若芷兰$2018-02-14 21:34:47$0$补签！
149$11498192$齐天乐$冬眠的跑步君$2022-01-31 10:59:37$0$真是个百花齐放、艺术大爆炸的美好年代，西游剧组全体演员才是真正的老一辈艺术家，最精彩的一届春晚没有之一！搭配杨洁导演的《敢问路在何方》一起食用效果更佳。
150$11498192$齐天乐$飞叶$2013-04-12 23:10:38$1$话说当年西游记里面的女演员可真的都是美女啊~~永远是无可超越的经典~~
151$11498192$齐天乐$兜兜未来$2015-07-10 21:28:06$0$里焦外嫩的
152$11498192$齐天乐$乱世流年$2017-01-29 23:34:04$0$看到最喜欢的赵丽蓉老师，眼泪止不住的流
153$11498192$齐天乐$星辰云海$2020-02-02 03:43:22$1$这其实是台综艺 现在看来就是情怀 当时看来还是很超前的
154$11498192$齐天乐$Molubie$2022-02-03 00:29:31$0$太好看了吧
155$11498192$齐天乐$李甫$2021-09-28 06:43:18$0$三十多年前就有这创意前卫的思想
156$11498192$齐天乐$Mercury$2018-02-11 20:01:44$2$看了无数遍！！！大型cosplay现场！！杨洁导演和许镜清老师太厉害了 西游记的美女个个美的有特色 有气质 有辨识度 化妆造型也个个在线！！！
157$11498192$齐天乐$全场最佳$2022-07-20 15:15:52$0$当年的春晚真是有创意有年味！开头的效果太惊艳了！
158$11498192$齐天乐$Heureusement$2022-02-05 17:40:39$0$朴实的快落
159$11498192$齐天乐$骆小哥儿$2021-05-16 12:48:01$0$天啦噜，我居然看过！
160$11498192$齐天乐$旁观者$2019-02-14 18:40:00$0$厉害了
161$11498192$齐天乐$小仙女$2022-02-04 15:41:17$0$比现在的春晚有意思多了
162$11498192$齐天乐$优酸乳兔兔$2021-09-27 00:31:41$0$简直是爷童回（
163$11498192$齐天乐$阿妙妙$2021-07-18 16:25:00$0$有诚意的拜年晚会，各路神仙妖怪聚头；第一次听到《大圣歌》《八戒歌》的填词；小品相声才艺都非常好玩好看；
164$11498192$齐天乐$零度$2022-12-26 12:06:54$0$迟重瑞师父真的太好看了，现实中还憨憨的感觉哈哈
165$11498192$齐天乐$杨小画$2022-09-10 13:58:37$0$啊哈哈哈哈哈哈哈哈哈 宝藏春晚啊！太精彩了！！！太欢乐了～～～
166$11498192$齐天乐$扎扎(热身中$2021-01-16 15:37:00$1$太养眼了！😭大家真是意气风发，好热闹好欢乐。真好
167$11498192$齐天乐$Samuela$2019-04-09 09:19:10$1$可渣的画质了，但是看得特别开心！“怎比我雨润红姿娇雨润红姿娇”的杏仙唱歌好美
168$11498192$齐天乐$文件传输助手$2022-01-27 13:07:23$0$骗子，你明明对女儿国国王动心了，还在歌里唱说没动心。
169$11498192$齐天乐$猫咪军团$2020-10-14 11:18:39$0$太可爱了吧～～创意可爱，组合可爱，特色鲜明的不要不要的！
170$11498192$齐天乐$马大眼睛$2017-10-02 17:40:48$0$看过，美滋滋
171$11498192$齐天乐$回家种田$2022-10-29 15:03:58$0$2020年最后一天晚上看的，相当有趣
172$11498192$齐天乐$宝葫芦的秘密$2021-02-13 17:15:03$0$有点感慨，时光真的是转瞬即逝。
173$11498192$齐天乐$鲁大象$2017-04-09 19:51:28$0$还是那时候的春晚有味道~~~
174$11498192$齐天乐$GH$2017-04-29 22:03:23$0$哈哈哈，好有意思。杨导千古。直男眼光的86版西游五美白鹤，杏仙，龙女，嫦娥，女王 
175$11498192$齐天乐$烧卖耶$2019-02-03 18:23:47$0$天啊这个我看过！
176$11498192$齐天乐$热爱 美好$2022-12-15 16:20:22$0$太牛了
177$11498192$齐天乐$青舟$2020-12-16 02:51:12$0$永远的白月光
178$11498192$齐天乐$藤桥$2022-02-03 14:49:40$1$迟师父那么帅啊！六小龄童的孙悟空绝了，就是我心中最爱的美猴王。女儿国国王太美了。那时候的演员都是有真功夫在身上的，因为影视剧传媒刚兴起，所以都是有本事的人才能上，现在的都是什么玩意儿～我可以刷许多遍！这不比春晚好看一百倍？
179$11498192$齐天乐$郭大侠$2022-02-03 21:35:39$0$这联欢会，除了特效渣之外，其他都堪称完美，所有的演员都串联起来，各显神通，有板有眼，创意十足，比之而今的春晚简直不要太好了。
180$11498192$齐天乐$青柠栀子酒$2016-03-17 19:33:46$0$觉得比任何一届春晚都要好
181$11498192$齐天乐$豌豆黄$2018-03-05 19:27:10$1$戏曲界高手如云，诙谐有趣，真精彩
182$11498192$齐天乐$鲜藕大王$2018-02-24 10:43:06$0$回忆暴击...全是艺术家
183$11498192$齐天乐$李小鱼$2022-02-04 11:27:33$0$里程碑式的春晚
184$11498192$齐天乐$Steven Y$2020-07-08 12:30:01$1$越看越觉得现在的娱乐圈没意思
185$11498192$齐天乐$宇晶琪$2017-11-17 14:04:12$1$有种莫名的亲切感
186$11498192$齐天乐$阿里西亚$2016-12-26 22:22:34$0$自带鬼畜，笑死。
187$11498192$齐天乐$子寒$2020-04-03 01:56:19$0$醉中又观一遍，太经典了
188$11498192$齐天乐$一霎微雨$2018-12-05 18:31:25$1$这场晚会已成终曲，前无古人，后无来者。
189$11498192$齐天乐$蓝绸$2020-03-10 01:09:13$0$这台晚会真的好精彩，他们是演员还是戏中人，真的是看到自己都模糊了。这一版西游记也是永远的经典。
190$11498192$齐天乐$无盐城$2019-12-27 22:43:17$0$歌都好好听！女儿国国王的《女儿情》，杏仙的《欢乐就在今宵》，大闹天宫的《大圣歌》，五指山下的《五百年沧海桑田》，以及非常经典的《敢问路在何方》。
191$11498192$齐天乐$成、肥灰、就$2016-07-30 07:18:19$0$看看当年的晚会！
192$11498192$齐天乐$準備中$2017-05-24 00:36:15$0$感动
193$11498192$齐天乐$pingeekk$2020-06-23 07:53:15$0$真cult
194$11498192$齐天乐$风景！过客！$2022-01-25 13:07:06$0$那个时候，演员真全能，都好有才啊！
195$11498192$齐天乐$沽上凡人$2017-02-11 10:28:09$0$值得一看，b站有高清。不管是舞台、烟火、特技还是演员反串，都相当有意思。
