$movie_id$movie_title$comment_user$comment_time$comment_vote$comment_text
70$10430306$梅兰芳的舞台艺术 上集$Mewyy$2021-05-0223:21:48$0$纪录，平面布景昆曲断桥京剧宇宙锋梅先生艺术永存
71$10430306$梅兰芳的舞台艺术 上集$imcap$2012-04-2923:55:05$0$无语
72$10430306$梅兰芳的舞台艺术 上集$Iris$2018-02-0819:37:26$0$纪录片里第一次听到梅老板说话，说的竟然不是京片子！难道我对北京话有什么误会www纪录片拍到了各种珍贵片段，断桥和宇宙锋娇媚可爱，甜到傻笑，对于这一版考试周循环的宇宙锋还是很有感情滴，不过就画面来说反二黄一段还是更喜欢春节晚会版给的镜头
73$10430306$梅兰芳的舞台艺术 上集$孤筏重洋$2021-06-0617:59:00$0$虽然是彩色的，但效果很一般，梅兰芳老态毕现，让人很失望，且没有字幕，根本不知道上面的宾白和唱词，看得自然无比痛苦。第一出戏《断桥》里，他儿子梅玖葆演的青蛇，表情木讷，很煞风景。
74$10430306$梅兰芳的舞台艺术 上集$林家铺子$2020-01-0907:48:06$0$看得∨CD，梅大师的代表作品的完美展现，成片六年后，大师辞世。
75$10430306$梅兰芳的舞台艺术 上集$程方圆$2020-01-0522:22:12$0$吴祖光真神人
76$10430306$梅兰芳的舞台艺术 上集$Iven$2011-09-1213:08:07$0$无话可说
77$10430306$梅兰芳的舞台艺术 上集$Vega$2022-03-2923:09:40$0$不看台本基本上听不懂，尤其是断桥，对于没有戏剧基础的我来看这部电影，纯粹是当艺术的欣赏了。但是有一说一，梅兰芳老师的眼神真的太到位了。
78$10430306$梅兰芳的舞台艺术 上集$忽大猫$2022-12-2404:24:34$0$2019/03/12@中国电影资料馆，小西天，北京
79$10430306$梅兰芳的舞台艺术 上集$喜欢温暖$2012-10-2808:12:02$0$京剧啊。。。没有看完，晚年的梅兰芳先生跟我的期望有距离，遂没看完。
80$10430306$梅兰芳的舞台艺术 上集$黄椰喽$2023-04-0422:38:15$0$这几天睡眠不足，困着的时候突然听到学校名字和老院长的发言，吓醒了……《宇宙锋》很有意思，没有字幕，但适合雨夜观看
81$10430306$梅兰芳的舞台艺术 上集$阿雾$2019-03-1311:38:15$0$时代无聊解说
82$10430306$梅兰芳的舞台艺术 上集$小鸟两只脚$2013-01-0214:35:41$0$非常好的剧情，沉浸其中，仿似也经历了那样一段历史，太过伤感的电影。
83$10430306$梅兰芳的舞台艺术 上集$陈ok$2021-02-1719:24:27$0$20210217
84$10430306$梅兰芳的舞台艺术 上集$雨慝$2013-02-1718:37:57$0$棒
85$10430306$梅兰芳的舞台艺术 上集$orange$2012-05-2123:10:23$0$经典。
86$10430306$梅兰芳的舞台艺术 上集$Sendy$2019-09-2015:40:54$0$欣赏、致敬经典
87$10430306$梅兰芳的舞台艺术 上集$财神5.0$2021-09-1014:34:02$0$我们的首都，北京，拥有大量的人民艺术家。
88$10430306$梅兰芳的舞台艺术 上集$炮灰BPEL$2021-11-0921:30:00$0$一部艺术片子简单介绍梅兰芳后，放了断桥和宇宙锋两个舞台剧，是戏曲爱好者的福星
89$10430306$梅兰芳的舞台艺术 上集$奉化$2015-05-3014:17:24$0$宇宙峰挺好
90$10430306$梅兰芳的舞台艺术 上集$杏花杨柳飘$2016-04-1811:08:50$0$经典之作！
91$10430306$梅兰芳的舞台艺术 上集$蝴蝶君$2013-03-3020:31:59$0$经典之作！
92$10430306$梅兰芳的舞台艺术 上集$Madeline$2019-03-2815:48:41$0$京剧门槛太高博大精深不方便评论。但发自内心敬佩艺术家对待艺术严肃认真的态度。他的标尺是艺术本身，如何接近内心的标准。而不仅仅是“流量”多少这浅层功利的讨好。反观不少用自圆其说来装饰自己的“当代艺术家”，会多少觉得羞愧和亵渎。
93$10430306$梅兰芳的舞台艺术 上集$海盐冰激凌$2020-04-2317:24:14$0$应该是很好的片子，可惜我感受不到什么，等我去了解戏曲知识之后，再来看
94$10430306$梅兰芳的舞台艺术 上集$风在树梢鸟儿在$2018-07-2418:16:32$0$戏曲大师，爷爷喜欢我还是太浅陋，欣赏不了
95$10430306$梅兰芳的舞台艺术 上集$阿朱$2012-09-2013:53:33$0$特别去看的梅兰芳先生的霸王别姬
96$10430306$梅兰芳的舞台艺术 上集$小蚁$2017-05-1620:07:23$0$两颗星其实是给今天的电影资料馆，因为电影中京剧选段没有字幕，资料馆也没配备相应字幕，所以最重要的部分始终看不懂，过程很煎熬。也是第一次在资料馆看电影中途离场。
