排名/年,year,name,box,score,导演,卡司,id
167,2016,魔兽,147214.9,7.7,邓肯·琼斯,"崔维斯·费米尔, 托比·凯贝尔, 宝拉·巴顿, 吴彦祖, 本·福斯特",2131940
193,2016,大鱼海棠,56520.2,7.0,"梁旋, 张春","季冠霖, 苏尚卿, 许魏洲, 金士杰, 杨婷",5045678
286,2016,七月与安生,16694.9,7.5,曾国祥,"周冬雨, 马思纯, 李程彬, 李萍, 蔡纲",25827935
306,2016,从你的全世界路过,81419.5,5.3,张一白,"邓超, 白百何, 杨洋, 张天爱, 岳云鹏",26280528
309,2016,湄公河行动,118417.4,8.0,林超贤,"张涵予, 彭于晏, 孙淳, 陈宝国, 冯文娟",25815034
340,2016,驴得水,17304.5,8.3,"周申, 刘露","任素汐, 大力, 刘帅良, 裴魁山, 阿如那",25921812
361,2016,比利·林恩的中场战事,16515.8,8.3,李安,"乔·阿尔文, 加内特·赫德兰, 克里斯汀·斯图尔特, 范·迪塞尔, 李淳",25983044
410,2016,长城,117452.0,4.9,张艺谋,"马特·达蒙, 景甜, 佩德罗·帕斯卡, 刘德华, 威廉·达福",6982558
411,2016,罗曼蒂克消亡史,12296.5,7.7,程耳,"葛优, 章子怡, 浅野忠信, 杜淳, 钟欣潼",24751763
27,2017,西游伏妖篇,165692.2,5.5,徐克,"林更新, 姚晨, 林允, 包贝尔, 巴特尔",25801066
29,2017,乘风破浪,104913.3,6.8,韩寒,"邓超, 彭于晏, 赵丽颖, 董子健, 金士杰",26862259
85,2017,嫌疑人X的献身,40225.8,6.3,苏有朋,"王凯, 张鲁一, 林心如, 叶祖新, 丁冠森",26606743
99,2017,速度与激情8,266869.7,7.1,F·加里·格雷,"范·迪塞尔, 杰森·斯坦森, 道恩·强森, 米歇尔·罗德里格兹, 泰瑞斯·吉布森",26260853
113,2017,喜欢你,20990.6,6.7,许宏宇,"金城武, 周冬雨, 孙艺洲, 奚梦瑶, 杨祐宁",26816383
114,2017,记忆大师,29176.9,7.1,陈正道,"黄渤, 段奕宏, 徐静蕾, 杨子姗, 梁杰理",25884801
