$movie_id$movie_title$comment_user$comment_time$comment_vote$comment_text
0$1306160$新警察故事$安蓝·怪伯爵𓆝𓆟𓆜$2009-08-29 22:03:19$667$看过的吴彦祖的片里形象最好的一部。ps，惊现孙淳
134$1306160$新警察故事$Azazel$2010-03-09 21:47:54$0$其实这部不错的,第一次感觉成龙有演技.
135$1306160$新警察故事$llxx8023$2010-02-14 06:44:22$0$有新意的新警察故事
136$1306160$新警察故事$鱼进锅$2009-09-29 14:46:40$0$当时在电影院觉得好精彩！
137$1306160$新警察故事$Rui$2011-07-22 00:52:54$0$还不错
138$1306160$新警察故事$西看电影$2012-06-09 13:03:17$0$新警察时代，成龙老咯。
139$1306160$新警察故事$见习兔$2012-12-29 17:34:31$0$当时大家都还年轻
140$1306160$新警察故事$開膛手傑克$2011-03-11 05:20:47$0$我看过的遍数最多的电影……
141$1306160$新警察故事$张$2008-02-19 22:20:06$0$吴彦祖，
142$1306160$新警察故事$卫斯理$2009-02-04 23:53:15$0$谢霆锋牛
143$1306160$新警察故事$樱桃之远$2010-03-09 11:49:36$0$很难得
144$1306160$新警察故事$烟视媚行$2011-05-26 10:55:15$0$相对于成龙的前几部警察故事，这部新警察故事不逊色。谢霆锋的演技只要发挥得体以及恰当，确实是不错。以吴彦祖为首的几个反角也表现出色，吴彦祖这部很出色。动作戏也好。
145$1306160$新警察故事$flo$2011-10-29 00:42:59$1$成龙打不动了，吴彦祖感觉最后还可以再发挥一下的
146$1306160$新警察故事$SonicDe$2011-02-14 21:02:45$1$电影台一演就看。基本会背了……
147$1306160$新警察故事$🚬🚬🚬$2010-07-15 03:12:39$0$吴彦祖帅得太过分了!
148$1306160$新警察故事$楊大叔$2010-12-25 10:39:17$0$不打的成龙没有激情，演文戏我为什么看你呢
149$1306160$新警察故事$Out Man$2007-12-03 22:00:46$0$很有创意，也符合现代人口味，只是有点太夸张了。
150$1306160$新警察故事$木雅游$2010-01-30 00:57:42$0$这好像是成龙回归香港之作
151$1306160$新警察故事$未卜$2011-06-07 00:18:47$0$谢霆锋的代表作？
152$1306160$新警察故事$小矮人没有童话$2008-07-22 04:19:53$0$真假差人
153$1306160$新警察故事$小饺卷$2008-08-03 14:33:07$0$这个拍的真的很赞~感动
154$1306160$新警察故事$忽然之间$2007-04-08 14:30:26$0$fox是个愤青。这也是我很讨厌他的原因之一。
155$1306160$新警察故事$打少$2008-10-18 15:48:46$0$怪异的大哥煽情~
156$1306160$新警察故事$·謎語語語語$2008-12-26 16:30:08$0$吴彦祖好帅好帅好帅！！
157$1306160$新警察故事$hiphop$2006-11-19 17:18:38$0$大哥后期的片子大多是这个路子，吴彦祖的戏份很多，表现不错
158$1306160$新警察故事$静静的视界$2009-08-21 10:51:21$0$吴同学演得真有型~
159$1306160$新警察故事$Blue Moon$2010-02-08 11:32:49$0$玩大了就容易出事
160$1306160$新警察故事$绷带僵尸$2011-09-22 00:54:58$0$3电影频道又播了…以前看吴彦祖最后死掉真的都要哭了啊…
161$1306160$新警察故事$花花寝室$2011-01-22 18:28:53$0$特别喜欢吴彦祖~~~
162$1306160$新警察故事$MADAO的万事屋$2012-06-18 17:52:24$0$成龙有所反思的片子，超人也会老。。
163$1306160$新警察故事$Shaofa$2008-03-15 00:24:59$0$....
164$1306160$新警察故事$Geronimoooooo$2010-04-23 19:49:48$0$阿祖不该死的@！
165$1306160$新警察故事$黠$2008-11-11 12:28:47$1$C6常播片，吴彦祖的小西装不错。
166$1306160$新警察故事$妈渴-瞪啃$2011-05-02 15:19:54$0$场景设计在港片中算超一流的
167$1306160$新警察故事$赵天霸$2012-08-27 23:17:09$1$对这个电影的印象就停留在了吴彦祖的身上
168$1306160$新警察故事$Fan$2010-02-27 01:07:16$0$谢霆锋 谢霆锋 
169$1306160$新警察故事$V.pLaY$2012-06-10 21:38:22$1$陈国荣。。。据说这片子本来是让Leslie演？！于是看着剧情在想，若是他演，是个什么效果。。。
170$1306160$新警察故事$耶穌受難$2012-08-12 21:06:47$1$阿祖~
171$1306160$新警察故事$困冬。$2007-08-26 19:56:47$1$吴彦祖不错
172$1306160$新警察故事$常减常肥的温绮$2008-09-10 00:56:13$0$终于看到了
173$1306160$新警察故事$海鲜高汤面$2017-04-14 19:18:58$3$影片可看性4星，多一星私信给祖。
174$1306160$新警察故事$听风声音$2010-06-13 19:36:50$0$高中语文课
175$1306160$新警察故事$贪贪$2011-01-28 16:45:31$1$彦祖哥哥哭的那一霎那，把我迷倒了，回看了N次
176$1306160$新警察故事$🍑桃$2011-08-29 19:59:23$0$我當時為么看得這麼入迷？
177$1306160$新警察故事$路过蜻蜓$2013-09-28 01:28:24$0$故事不错，演员不错。
178$1306160$新警察故事$水径浅沫$2010-08-10 17:58:05$0$量身打造 却。
179$1306160$新警察故事$木叶$2009-08-31 19:10:38$0$看了好多遍，每次都很爽
180$1306160$新警察故事$PHDD$2010-03-28 02:12:45$1$不错 不错的 吴彦祖
