$movie_id$movie_title$comment_user$comment_time$comment_vote$comment_text
65$1859036$宝贝计划$烟视媚行$2011-03-03 09:01:38$0$那个宝宝是真可爱。古天乐和成龙都是浮云。还有吴彦祖那句背背山也挺可爱的。
66$1859036$宝贝计划$百代过客$2020-08-29 00:21:12$1$陈木胜成龙的这部配置也太强大了吧，动作和喜剧的效果都齐了，成龙的室内动作设计真的独一无二，即便故事闹着玩也不丝毫不影响片子的流畅度，一众大咖熟脸客串，就数阿祖和霆锋的背背山最出彩。
67$1859036$宝贝计划$kmkgcwzy$2018-06-16 11:01:33$4$太喜欢这部电影了，这个baby真的好漂亮啊😍剧情搞笑又令人感动，百看不厌
68$1859036$宝贝计划$壳子$2017-02-21 13:41:32$3$宝贝真的太可爱了 眼睛好大blingbling的 
69$1859036$宝贝计划$数人的绵羊$2012-07-13 16:02:10$2$其实成龙几乎所有的片子都是跟A计划一个套路，有一个使命，然后中间遭遇各式各类人物，有阻力更有动力。一星给到他，看着他一把年纪还能跳上蹿下，挺累的份上。一星给到这个小超Q宝贝儿。一星给到客串来的吴彦祖来自背背山嘻嘻。想要看极品高OO，看这部吧，多美啊多纯啊。。。噗死我！
70$1859036$宝贝计划$Sophieven$2012-05-08 15:08:50$0$小婴儿很可爱，故事很老套，音乐一如既往的平庸，大概功劳就在演员吧。
71$1859036$宝贝计划$听见流星的声音$2022-04-16 12:31:45$0$在合作了《新警察故事》後，陳木勝和成龍的再度合作卻是一部徹頭徹尾的動作喜劇。雖然拍動作喜劇不能像警匪片使用各種元素去豐富視聽語言，但本片還是成為陳木勝電影生涯最豐富的作者之作：用力甚深的場面調度，編排精密的長鏡頭以及罕見的蒙太奇，由成龍擔任主角亦決定了動作調度上的豐富和武打場面的精彩。故事上亦打破陳木勝作品一貫以為警察為主角的模式，而是以幾個小偷為主角，但有趣的是，小偷們雖然最後棄暗投明，救了小孩，卻還是沒有逃過法律的制裁，進了監獄服刑為自己的罪行贖罪，可見陳木勝尚未放棄正邪必有報的二元化框架，但對立本身的立場卻開始鬆動（小偷非傳統意義上的反派）。
72$1859036$宝贝计划$严不香偶尔上线$2021-02-25 15:05:51$6$我这几天重温了 港片真的很有厌女桥段 小宝宝真的好可爱哦～ 小时候就对男妈妈的片段有印象 
73$1859036$宝贝计划$刘建明$2010-05-18 12:24:11$0$"卖萌的欢乐片~
花絮：http://v.youku.com/v_show/id_XNzI2NTMzMTI=.html"
74$1859036$宝贝计划$Memento Mori$2010-02-18 00:43:00$0$成龙用双手通电给宝宝电击的时候，我泪如雨下难以抑制。
75$1859036$宝贝计划$Lonely$2018-03-02 13:57:25$0$8.0/10 分。2018.03.02，重看。剧本扎实，明星众多，房里大荟聚和汽车相撞都很精彩，成龙跳室外空调主机的那一段看着都害怕。。。当年在电影院看的，看到了一个青春靓丽的年轻妹子，非常有气质，有个男孩还找她要电话。。。多年以后我都念念不忘，比现在的很多明星都好看多了。。。
76$1859036$宝贝计划$别人老公$2017-03-08 14:10:51$7$没有小鬼当家好看
77$1859036$宝贝计划$影子熊揉着眼睛$2011-08-29 17:58:11$1$成龙继警察故事续集之后就没有这样对群戏要求足够高、喜剧成分足够浓的电影了，而这恰恰是之前成龙电影好看的源头，后壮年成龙最佳电影
78$1859036$宝贝计划$素*$2006-11-05 01:12:30$0$成龙的亲情牌很煽情啊,想起很早之前的一部美国喜剧,想不起名字了......哦,&lt;小鬼当街&gt; 心情不好的时候看这种电影比较容易放松
79$1859036$宝贝计划$Apocrypha$2008-07-18 22:20:14$0$除了成龙和高圆圆的忘年恋外都挺好，何必老在国外拍片呢？
80$1859036$宝贝计划$饲养幻想$2008-09-04 14:50:15$0$某个下午放假的节日 一起看 一起笑
81$1859036$宝贝计划$李子鲤|Lilith$2006-10-26 16:29:41$1$"1：明明可以在九十分钟之内讲完的故事硬是被拖到了两个小时。抢宝贝作为整部影片的激励事件居然在三十分钟之后才出现，节奏拖拉。不象港片作风。
2 居然有点看腻成龙的动作戏了。这种毫无新意的，延长片时的连续出现的动作戏自己把自己推到了可要可不要的地步。
3。宝贝很不幸只是个配角，或者说只是个工具，废话，他当然不能抢成龙大哥的戏份。记得以前看过一个美国的片子，也是的一伙贼人要抢一个宝贝。宝贝自己在街上爬来爬去，去了工地，动物园，遭遇无数惊险，神奇般的化险为夷。眷顾他的不是成龙这样的奶爸，而是冥冥中注视人间的上"
82$1859036$宝贝计划$刘小青$2010-11-17 20:38:03$0$电影频道放的最多的电影之一。所以我看了好几遍。
83$1859036$宝贝计划$胖胖小君君$2017-04-03 00:08:03$4$看过好几遍，小盆友太可爱了。
84$1859036$宝贝计划$xx@百年孤独$2007-04-10 22:24:35$1$我们逃了选修课，在露天剧场看的这场电影，是我四年来唯一一次。你陪我上课，陪我逃课，帮我去点名然后回来继续陪我看电影，哪里找你这么好的人。只是有些东西注定是错过吧，没有说也一样美丽。看到那么可爱的宝宝，我会记得你的赞叹。
85$1859036$宝贝计划$独自退场$2015-06-01 21:22:39$4$里面那个Baby获金像奖最佳新人演员奖，半岁。。。
86$1859036$宝贝计划$Jasmine$2011-07-18 20:28:50$1$每次电影频道重播总会停下来看看 因为宝宝太可爱了 今天CCTV6又在放 就有停下来看了看 正好是吴彦祖说背背山的那段 想起了原来就是从看了这片子开始叫起了背背山 呵呵 宝宝依旧是最可爱的~ 
87$1859036$宝贝计划$花椰小C$2010-02-21 16:20:06$0$爱死那个小宝宝~真是每次看必哭。
88$1859036$宝贝计划$行有恒$2012-05-22 22:53:56$0$有打斗、有搞笑、有温情，水准颇高的娱乐片
89$1859036$宝贝计划$瞪鞋派$2009-04-10 14:24:54$0$三个奶爸一个娃···此bibi甚可爱！！以后必须得生一个和他比赛··
90$1859036$宝贝计划$沧海一小生$2018-03-25 12:32:10$5$喜欢的电影，可爱的宝宝，还有温柔的高圆圆！！
91$1859036$宝贝计划$hyskoa99$2011-03-01 17:05:49$0$就记住了那个非常著名的长镜头，其他的部分都太典型的成龙电影了
92$1859036$宝贝计划$随意$2017-05-14 23:13:45$6$这部戏挺搞笑的，尤其那个小孩子太可爱了。
93$1859036$宝贝计划$彭毅$2006-10-18 20:05:30$0$很好，煽情不错，小孩很可爱，很好看的成龙电影。不过，最后那个老爷那段有点恶心。
94$1859036$宝贝计划$古正中$2011-07-21 00:00:33$0$宝宝什么的，永远都打着萌的招牌。
95$1859036$宝贝计划$春逸盎然$2010-02-23 21:20:00$0$电影频道的老朋友了。2020年2月重看，当妈妈了果然观感不一样了，眼睛一直盯在宝宝身上，太萌太可爱了。一些惊险镜头都不敢看啊！小宝贝拍得真好
96$1859036$宝贝计划$私房歌$2012-07-02 13:41:00$0$六年已过，不知道那可爱的小宝宝现在变成啥样了？
97$1859036$宝贝计划$亢龙无悔$2007-11-27 17:23:17$0$算是不错的片子，对于如今的成龙来，很不错了
98$1859036$宝贝计划$willow$2010-12-31 04:47:02$0$以前看的。合拍片再度水土不服咯，其实我真的不是太懂欣赏某大哥。Michael似乎这里是第一次见。古仔快点结婚生仔吧
99$1859036$宝贝计划$神游少年欣小欣$2008-02-24 12:55:26$0$"成龙大叔的温心小电影 ..
小孩很可爱..故事还是过于明了化"
100$1859036$宝贝计划$dy$2006-10-21 18:18:21$0$目光完全被那个超级漂亮的小家伙吸引了。。。。真真的漂亮啊。而且一点都不认生的样子：D。。肉肉的捏起来手感一定超级棒
101$1859036$宝贝计划$逃之夭夭$2008-02-20 23:13:22$0$那个BABY怎么就那么可爱嗫？？？还有，吴彦祖和谢霆锋扮演的运钞警察，也很抢镜啊~~~
102$1859036$宝贝计划$魚大人和小黑喵$2006-10-14 13:58:17$0$影片里那个小孩子好可爱哦，值得一看。构思有抄袭《神勇奶爸 / 限制级褓母 / 凑仔型警 / 超级奶爸》的的嫌疑。
103$1859036$宝贝计划$瀚彤$2012-11-12 14:19:19$0$除情感转折不太流畅外，不失为一部不错的有喜有悲的喜剧动作片，个中腐料看官想必了然，谢霆锋和吴彦祖真活宝！
104$1859036$宝贝计划$Mike Suen$2006-11-06 16:35:08$0$好看的一部成龙作品，适合全家人一起看。有打斗、有搞笑、有温情，水准颇高的娱乐片~~ 所以说，我很欣赏成龙大哥这个回归——规避有限的动作，创造无限的笑果。这是他从70年代末赖以成名的法宝，在这么多年大制作的豪华动作之后，又回到了最初A计划那样的风格上。
105$1859036$宝贝计划$陈香美$2011-01-15 15:46:39$0$话说这几年电视上就跟播还珠格格似地往死里播这个片子有意思么- -
106$1859036$宝贝计划$everydaywalker$2013-12-04 22:21:01$0$宝贝特别可爱。许冠文时隔几年重新出山，冷面笑匠的演技还是不错的，那句“我从背背山来”更是经典。
107$1859036$宝贝计划$汲汲于尘$2011-07-15 12:20:50$0$被某个喜欢里面宝宝的女人拖着看完。。。成龙风格的片子啊。。。
108$1859036$宝贝计划$芹泽虾饺菌$2009-01-17 23:17:28$1$成龙是爸爸，古天乐是妈妈。O(∩_∩)O哈哈~，古天乐你好自觉~~
109$1859036$宝贝计划$Bright Sun$2010-03-04 17:07:56$0$两人配合的非常不错，融合并沿袭了两人的风格
110$1859036$宝贝计划$没头脑又不高兴$2008-08-24 17:56:55$0$许冠文1星 成龙1星 古天乐1星
111$1859036$宝贝计划$巴喆$2011-12-30 22:13:07$2$全家人围观CCAV6的孩子打拐宣传片
112$1859036$宝贝计划$张翔森$2022-01-17 00:24:53$1$合拍片的问题就是语言的问题，语言的问题就是细节的问题，细节的问题就是导演的问题，导演的问题就是电影的问题。
113$1859036$宝贝计划$趙小漁$2008-05-24 00:16:17$0$小寶寶很不錯……這次走溫情路線了……
114$1859036$宝贝计划$碧落亦然$2008-06-27 16:21:29$0$可爱的宝宝，好心的贼人……BB喝奶的场景超搞，古天乐这个妈做得真好……
115$1859036$宝贝计划$花椰小C$2010-02-21 16:20:06$0$爱死那个小宝宝~真是每次看必哭。
116$1859036$宝贝计划$wangzhy$2011-03-15 14:41:44$0$要是没有古天乐成龙又挫了
117$1859036$宝贝计划$siji小猪头moli$2007-11-11 17:14:46$1$重看一遍，发现很多精彩之处！
118$1859036$宝贝计划$那山那云那月$2011-08-07 12:51:19$0$很好看的一部成龙作品，适合全家人一起看。有打斗、有搞笑、有温情，水准颇高的娱乐片~~
119$1859036$宝贝计划$Scorpion$2011-12-25 02:50:01$0$小孩太可爱了，关键是这么小就跟这么多大牌合作了，厉害
120$1859036$宝贝计划$灿小烈$2011-12-07 20:45:09$1$一颗星给古天乐那些令我眼花缭乱的衣服
121$1859036$宝贝计划$Jane$2007-09-04 12:22:24$0$宝贝很可爱，故事有些拼凑。同类型电影国外有经典，那个会爬的孩子，哈哈。
122$1859036$宝贝计划$amelin$2017-02-21 08:49:03$5$挺好看的一个电影～小baby超萌的～
123$1859036$宝贝计划$查无此人$2010-04-12 22:39:10$0$恐怕是抄袭科恩的《抚养亚利桑那》
124$1859036$宝贝计划$Chariey$2010-10-13 10:18:39$0$The baby is so cute～
125$1859036$宝贝计划$淡定哥走路带风$2008-03-28 06:41:31$0$可爱宝宝叫人不得安宁，扰人心神！很喜欢这个童星
126$1859036$宝贝计划$Hai.$2010-03-14 19:21:58$0$"你哪来的？？
~~^^背背山~~。
…………………………！"
127$1859036$宝贝计划$Mophister$2006-10-22 22:56:03$0$"本来已经发誓在香港电影发生本质性改变之前不看香港电影了，结果还是被师明，渡海等人推荐着看了一个，结果发现还是那个样子，突如其来的喜怒哀乐，生硬的剧本和导演，卖点上呢，成龙的技巧性武功也已经不新鲜了，古天乐对男人来说也不怎么养眼，偏又弄上个包租公婆，不说了，要吐了。
不过宝宝挺可爱的，呵呵。"
128$1859036$宝贝计划$Crystal$2012-05-24 11:33:29$0$I love baby.
129$1859036$宝贝计划$Anday$2011-06-08 17:27:52$0$"我从背背山来.................. 
"
130$1859036$宝贝计划$霧雨魔理沙$2011-10-09 20:34:04$1$很烦这种拿小孩子做噱头的电影
131$1859036$宝贝计划$菠萝$2014-02-04 20:40:25$0$小孩好可爱……两个Gay保镖居然是谢霆锋和吴彦祖……
132$1859036$宝贝计划$捂脸熊$2010-03-27 15:01:01$0$这个片儿很不错。以动物或者婴儿作为卖点都是肯定可行的。就跟星光大道冠军一样，不是外族就是外籍，要么身残志坚要么特别小或者特别老。要么就是打工仔或者农民。旨在提醒大家天朝还是平等的吗？对不起走题了。
133$1859036$宝贝计划$阿吉娃娃$2009-09-08 17:47:10$0$很轻松的一部喜剧片，情节也不复杂。据说里面的BB曾经住在我边上的小区，是个中澳混血。虎头蛇尾~
134$1859036$宝贝计划$puma1020$2010-06-11 10:09:09$0$作为纯娱乐商业片而言稍长了点，看到一半几乎想放弃了~~
135$1859036$宝贝计划$I can fly$2012-02-08 10:06:30$0$2个男人绑架一婴儿，最后却成了超级奶爸的故事。如果你对这世界失望，你就去看看孩子的模样。
136$1859036$宝贝计划$七十三$2011-07-20 22:48:49$0$我妈都看过三四遍了，我今天第一次看。。。
137$1859036$宝贝计划$安狄$2011-03-25 18:24:19$0$孩子拍这片白瞎了，去演奶粉广告吧。
138$1859036$宝贝计划$红桃小藕片$2007-06-22 00:34:12$0$婴孩是一个天使  所有的感情都是通过他来表达  爱 或者悔恨 或者希望  
139$1859036$宝贝计划$白白的小尾巴$2009-03-01 13:00:40$0$我看过……可是我忘记讲啥了
140$1859036$宝贝计划$游牧人·芳汀$2011-09-17 02:13:12$2$结局好公益广告
141$1859036$宝贝计划$若存$2011-10-01 20:28:40$0$成龙最后一部好电影了（但愿以后能让我改了这句话），喜剧动作都有
142$1859036$宝贝计划$傲娇续小肥$2011-04-08 22:38:10$0$成龙你他妈真的老了。回家抱孙子哈
143$1859036$宝贝计划$蓝雨笛$2012-01-04 11:40:28$0$有动作，有笑点，有人情。原来你是背背山来的
144$1859036$宝贝计划$哼哼的Edge$2007-10-03 14:01:20$0$我喜欢这种片子来娱乐，非常好的动作娱乐片。喜欢成龙。
145$1859036$宝贝计划$Lisaaaaaa$2011-06-09 00:43:08$0$宝宝真可爱 我不禁母爱大发
