$movie_id$movie_title$comment_user$comment_time$comment_vote$comment_text
115$3734112$风声$杨迪$2009-12-23 23:45:17$23$杀人游戏 
116$3734112$风声$Doublebitch$2009-11-05 22:04:12$17$“我不怕死，我怕爱我的人不知我为何而死。”这部戏没有一个人演的不好，包括晓明哥，绝对是演技派的彪戏大作。但如果最后的悬念能够更自然的通过电影情节来表现而不是由角色来讲明白，那就更好了。
117$3734112$风声$路西法尔$2010-02-16 16:58:59$7$长途汽车上被司机强迫观看的，身边一个熊孩子被吓得直哭……我倒觉得意外地不错，不过结尾太神棍了……
118$3734112$风声$蚂蚁没问题$2009-11-09 23:08:56$10$国产所谓主旋律片里面算是相当不错的了，周迅、张涵予、李冰冰、苏有朋都看出演技来了，当然情节也还有不尽如人意的地方，具体我就不剧透了...那段空城计的唱段还是相当有味道的，~我本是卧龙岗上散淡的人，论阴阳如反掌保定乾坤~
119$3734112$风声$鹿菏$2009-11-04 22:23:33$17$李冰冰和周迅太美了~~~压抑的色调压抑的剧情和同样压抑的大海，给了我这段时间看到的最好看的完全国产的电影，期待国产电影的大复兴！
120$3734112$风声$旧书君$2020-02-08 16:47:02$3$陈国富真的会拍。风声怕是从双瞳里吹过来阴风的风声，调色打光都是恐怖电影标准范式。当然这个片最称道的肯定是角色的拿捏。第一次觉得黄晓明居然有魅力、苏有朋找到了一个骨子里就烙印着自己名字的角色，以及迅冰的姬情我能全部吃下去。太厉害了。
121$3734112$风声$y同学$2009-10-02 23:43:43$16$还成吧 就是回头想想 合着老鬼原先压根儿就不知道老枪是谁、在哪里 有什么可招的呀……逼人家说 说什么呀……
122$3734112$风声$HALO未来$2010-02-18 23:28:04$2$"伟大，我们要铭记
PS：等完整版"
123$3734112$风声$发条橙$2020-07-22 21:13:26$4$影院重温，院线复工首部观影。绝望炼狱中的一缕信仰之光，密室抓鬼，谍战加悬疑，精彩！是那种挑不出大毛病的片子，群戏极佳，演员集体出彩（非常加分）！剧本厉害，属于认真讲故事的那一类电影。逻辑缜密，层层推进，铺垫、包袱都放得很好，反转接连不断。你本以为一开始就能猜到结局，结果看到最后张涵予那条线的点睛反转还是得感叹自己太小看这部片子了。
124$3734112$风声$美女菜kun$2017-04-28 11:42:07$10$原本白白净净温文尔雅的苏有朋，片中造型却看上去脏脏的，是叶锦添刻意为之。
125$3734112$风声$yocofcjx28$2016-11-21 12:30:10$10$还是挺好看的！有惊悚也有悬疑推理！
126$3734112$风声$老咪$2017-10-23 19:24:03$9$彩票情报是老鬼亲笔，使其笔迹成为鉴定依据是站不住脚的。除却少数硬伤，这几乎是近年来最好的华语片群戏，李宁玉这个角色起初很空，李冰冰的表演亮点出现在要揭发顾晓梦的时刻，眼神肢体台词恰到好处。靠声效就足以令人胆战心惊，五个人传电码文件的长镜头很漂亮，技术环节就是奔着佳作方向去的 @2017-10-23 19:24:03
127$3734112$风声$房间里的大象$2009-10-07 21:33:41$14$不错，音乐处理的尤其见功夫，要是能在武田被杀的时候戛然而止就能成为经典了，还是要鼓励一下，那个五人传递电码文件的长镜头真漂亮。Ps.周迅这个女演员真是太好用了，我要是导演我也使劲用她
128$3734112$风声$Alfie$2010-02-09 03:57:41$2$有让人读原著的冲动
129$3734112$风声$如错看了都好-$2017-04-27 23:20:20$14$雕花藏刀的顾晓梦，伪军剿匪司令部行政收发专员，美艳玲珑、洒脱娇纵。风中标杆的李宁玉，伪军剿匪司令部译电组组长，姣好清秀，自持冷静。苏有朋的表现真的令人惊喜！
130$3734112$风声$扭腰客$2009-10-15 09:10:04$6$相当出色的商业电影
131$3734112$风声$danyboy$2009-11-07 14:27:54$4$我觉得还是挺好看的。
132$3734112$风声$子不语$2011-09-07 01:02:25$0$最后还是
133$3734112$风声$堇色無雙$2009-10-06 14:19:50$2$就是有点恶心~
134$3734112$风声$一片两片三四片$2017-02-14 23:00:49$14$他们受刑的那一段好吓人啊。周迅的烟嗓好有感觉
135$3734112$风声$裙子$2022-12-04 17:49:46$8$风声里最后的这场大雪 和悬崖之上的大雪下的一样大 都是追光人 黎明快到了
136$3734112$风声$小丑丑$2011-06-03 11:57:18$0$对细节没特别在意，但是整天的构架还不错，小明这里面还可以。
137$3734112$风声$滕子京$2009-11-07 01:38:15$7$李莲花科长那一刻进入了无我的状态
138$3734112$风声$Luvlee$2009-10-04 23:10:44$1$一一 华纳 如果拍电视剧的话，非常的期待~
139$3734112$风声$王耀耀耀耀耀$2010-01-02 00:48:06$1$冲演技给三分。比预想的差很多，居然就是个暗算电影版。此片亮点：重口味居然没有被和谐。
