$movie_id$movie_title$comment_user$comment_time$comment_vote$comment_text
99$1307023$神话$F$2009-08-14 15:12:53$1$这一系列，也不知道怎么的，都忘掉收录了，这才联想起。金喜善很漂亮，主题曲被唱得恶俗，仅此而已。
100$1307023$神话$-VeronicaWooo-$2011-02-13 10:53:42$1$一般。成龙大哥装嫩严重啊！@Home
101$1307023$神话$游牧$2012-02-29 23:01:35$0$做一个长长的梦 梦里可以见到想见的人 去到想去的地方 还有关于前世今生的故事。
102$1307023$神话$Javier$2017-05-06 11:49:42$8$说实话，这真是一部可看度很高的电影，就是说这是一部好看的电影，只不过它出生在国人对国产电影极度失望又对外国电影极度崇拜的时候。
103$1307023$神话$嘟小七$2007-03-31 23:02:10$0$推荐的是秦始皇陵里那段音乐及吊钢丝
104$1307023$神话$大河马$2010-08-31 21:55:43$0$记得是在学校阶梯教室看的，挺好的电影
105$1307023$神话$lotus$2008-09-26 18:37:12$0$美女 商业片的弊端：结局仓促收尾
106$1307023$神话$半日光辉$2010-12-16 13:36:22$3$以港片来说，已经不错了。当然，距离优秀电影，还差很多很多。另外有个地方很难接受，南宫吃了不死药呆在地宫两千年了，身为武将你丫又不能和公主那啥，唯一能做的只能是练武了。结果练了两千年打不过人家一个导演，功夫活到gou身上了啊。另外，古人都没有胡子也很奇观啊。
107$1307023$神话$bugz$2017-04-15 15:36:29$2$拍得这么长干嘛呀... 看得好累...拉来的两个外国美女，都是蛮好看的。 金喜善的民族舞，我喜欢。
108$1307023$神话$阿朴$2010-09-27 13:11:26$1$这是翻《时光倒流七十年》的老账么……
109$1307023$神话$浮生若梦$2022-10-13 13:20:55$0$看出来是认真拍的，转场都有设计过，金喜善的几个经典镜头也很美，阳光下翩翩起舞，白衣飘飘从天而降，吊威亚真没少受罪。蒙毅的造型总让我跳戏到古今大战秦俑情里面的张艺谋。想吐槽一点的就是蒙毅救马车那场戏，玉漱眼见着马上就要坠崖了，她完全可以自己爬出来啊，怎么就巴巴地坐在那看，还非得等男人拉她才行呢。
110$1307023$神话$挂拉$2011-11-30 11:22:03$1$用簪子+头发缝针喔？秦朝时期就有钢铁铸剑了喔？（唐季礼好似没有那么差啊。。）
111$1307023$神话$东学西读$2010-11-11 03:05:29$1$原来爱情的感觉可以跨越千年。幻想总是美好的，但总有梦醒时分
112$1307023$神话$Dear Morie$2011-02-21 12:18:52$1$跨越千年的等待 只为求一个结果 等待千年的哀愁 是你在尽头等我 鹅黄蚕衣的玉漱公主在阳光下和风轻舞的摸样 美的夺目
113$1307023$神话$［已注销］$2010-09-11 22:45:26$0$以前没觉得金喜善好看。喜欢她笑的时候
114$1307023$神话$山下猫$2015-07-08 00:02:23$0$当时看过，过了这么多年重看还是不能一次看下去。孙周的总boss比起《宝贝计划》的陈宝国强太多了。当时看成龙古装实在有点不习惯。女主角是靓翻。印度一段杂耍有点普通。蒙毅打尸山看得无趣，人家叫将军投降，你抹人家脖子，像话吗？
115$1307023$神话$岚羽$2008-08-31 12:48:33$0$不喜欢泡菜国，不过金喜善的古装造型白衣飘飘的样子真的很美……
116$1307023$神话$樂$2008-11-22 23:08:49$0$你每次都打来打去 不腻烦么
117$1307023$神话$打少$2008-11-09 01:23:22$0$片段片段一个一个片断。没看完整。也不想看完整的
118$1307023$神话$blue$2014-01-23 10:00:36$3$我觉得挺好的，音乐啦，场面啦，都挺好的，故事也很棒啊，尤其是黑风死的那一段我都快哭了。为什么分这么低呢
119$1307023$神话$LEJ$2016-03-18 20:46:04$1$故事還是蠻有趣的。腦洞大開，像網絡小說。可惜不夠科幻。
120$1307023$神话$Left2$2011-11-02 19:04:12$0$ 
121$1307023$神话$flyingzorro$2007-10-01 22:01:21$0$"古今穿越间...不怎么懂
纯支持成龙大哥"
122$1307023$神话$尧louie$2012-10-07 20:51:26$0$好吧这部片子的吐槽点多到不忍直视。。。。出名的只是这首主题曲吧
123$1307023$神话$ReMinD$2011-09-05 00:57:35$1$"双时空叙事但是丝毫不精彩。金喜善也那么好看了。
给两星 加一星给动作设计和成龙大叔。"
124$1307023$神话$未闻花名$2012-06-17 10:34:16$1$一颗星给音乐，一颗星给成龙。这部电影本身就是狗血剧。
125$1307023$神话$有寂$2011-05-11 21:14:33$0$刚出那会儿觉得还挺好看的，还看了几遍。
126$1307023$神话$獨孤求敗$2019-04-06 14:38:21$0$原来编剧有#王蕙玲#，怎么感觉唐季礼先生好像费玉清，哈哈哈哈哈
127$1307023$神话$Gloria$2011-06-02 09:40:44$0$类似的电影N年前张艺谋和巩俐演过一部，不过张艺谋太像农民了，形象不行，和巩俐不般配，这部演员形象比较好。
128$1307023$神话$半夏$2011-09-22 11:49:22$0$为了爱情可以等待多久？前世的记忆是否恍若今生？放手到底为了什么？未知是否就是最好的结果？
129$1307023$神话$镜子$2020-11-14 00:47:28$8$豆瓣可耻！！！电视剧版和电影版直观的评分对比，实在是荒唐至极。就电影来讲，层层递进的情节发展，揭开了那个战乱天下中的凄美爱情，成就了多少人的意难平。蒙毅和玉漱的形象都非常立得住，是非常“正”的男女主形象。十几年了，真心希望不要再有那么多偏见去看待一部优秀的电影作品。
