$movie_id$movie_title$comment_user$comment_time$comment_vote$comment_text
256$25845392$长津湖$昭月奔奔$2021-09-30 17:24:09$103$爷爷是第四十军120师360团的老兵。所以对抗美援朝历史特别感兴趣。然后最喜欢看的军旅题材剧就是士兵突击，这部剧剧本是同一个老师就让人很放心。三个导演都是很厉害的，八一电影制片厂和博纳的加入又让我期待值拔高的顶点了。
257$25845392$长津湖$Moderate$2021-09-30 14:30:33$383$真的是用血肉铸就新的长城，向革命先烈致敬。
258$25845392$长津湖$W_B$2021-10-02 23:42:03$51$美军飞机压迫感很强，cg质量一般，发信号弹那里跟1917很像，文戏太差。总体太长，比较无聊。最喜欢的一段是在美军营里看到美女海报和巧克力。以及最精彩的是那段肉搏，就是有些r级。你们文化局的审核总是让人摸不着头脑。
259$25845392$长津湖$K$2021-10-08 18:47:31$47$好像看了什么，也没看到什么。为了展示战争而拍战争。零碎，无内核，又带有色彩。三星都多。
260$25845392$长津湖$起司猫炸毛666$2021-10-01 14:50:23$131$支持这类型电影。前赴后继的热血属于年轻人的鲁莽，可如果没有这股鲁莽与无畏，这山河，谁来守护？
261$25845392$长津湖$英子$2021-09-30 09:59:30$410$"林超贤、徐克、陈凯歌三位导演尽显各自特色，把战争动作、雪地场景、入朝前场景拍得惊天动地、感天动地，三位导演的场景衔接紧密，赞。请配合《1950他们正年轻》一起看哪。找好的特效厅看呀
时长三个小时，别喝太多奶茶了"
262$25845392$长津湖$王七宝$2021-10-04 10:19:20$56$三位导演都是大师级的，在各自擅长的领域都乃人中翘楚。并且在此片中也可以看出来他们使劲了全力，但是艺术这个东西，不是谁使劲大就能出效果的，三小时的影片一开始就能量值拉满未必是好事。譬如火车上打闹的情节可以缩减，小村庄的战狼打斗可以缩减，递红围巾的如果后续没有情节回应也可以砍掉，毛岸英的相关情节也可以另拍一部电影来展示。突出主线长津湖拍就可以了。长津湖战斗的本身素材足够拉满三个小时片长了。现在就像一篇限定八百字的高考作文，前面600字都在做铺垫，后面200字才正式进入正题，刚刚展开写就因为字数限制匆匆收笔。虽然语言优美辞藻华丽，但总觉得有种头重脚轻之感。
263$25845392$长津湖$Debbie. Chow$2021-09-30 13:28:18$61$"一个电影盲盒，没有预告，没有贴片，沉浸式的开场。三位导演的联合拍摄，本期待一部诺兰式的诺曼底登陆，却没成想是陆港台联手的三大战役般的呈现。
三个小时的观影，文戏有点拉胯，每一个战斗场面都极为震撼。内心第一次反复嘶喊 This is war. This is war."
264$25845392$长津湖$冰点1307$2021-10-03 23:46:47$72$"题材不错，特效也很好，但故事讲得稀烂……首先，虽然千玺弟弟演得不错，但好像删掉这个人物也不影响任何剧情；其次就是一场战役被切割得支离破碎，节奏奇怪且冗长，很容易出戏；最后想说观影体验，前排看战争镜头非常眩晕（本来运镜也很乱），以及大概三分之二的时候，就开始陆续有小孩子满场跑了……综上，看在本片烧了很多钱的份上，打及格分吧。
（补充：忘说了，还有很多不合时宜的说教，战场上哪有功夫慢镜头说教啊……）"
265$25845392$长津湖$shenshen$2021-09-29 22:53:45$155$四星半，期待一年多的电影在大银幕上呈现的那一刻，突然就平静了，这是一部沉浸感非常强的电影，而且与一般战争电影不同，它从抗美援朝的起因开始，娓娓道来，伍万里目睹长城壮丽的景色与马上要奔赴前线的残酷形成鲜明对比～文戏不落俗套，台词经典而不说教，而战争场面绝对称得上惊心动魄四个字，紧张得手心冒汗，整个情绪都跟着主演的命运起起伏伏～看之前本来以为主要集中在伍千里伍万里俩兄弟身上，看过之后发现群像戏塑造的非常优秀，每个人物都有血有肉，没有煽情的成分却让你忍不住落泪。
266$25845392$长津湖$清水$2021-10-05 17:04:46$25$铺垫太长，有种头重脚轻的感觉，第一场战斗明显比第二场精彩，等了那么久的高潮，却发现没有前戏带劲。。。总得来说，战争场面拍得还行，但片子只能算合格，场面热闹，却不够走心。这么好的题材，这么英雄的故事，还是可以拍得再好一点。
267$25845392$长津湖$hitch hiker$2021-10-02 22:54:45$36$对于战争，还请多抱一些敬畏之心吧。
268$25845392$长津湖$留白一片$2021-10-10 20:08:20$41$不错的，就是拍长津湖只有半小时，总觉得怪怪的，头重脚轻
269$25845392$长津湖$無聲碎片$2021-09-30 15:15:57$47$看的超点，整体不拖沓，文戏中有笑点有泪点，武戏中有震撼有心疼，美学风格妥妥在线。最催泪点的是雷公，演技真好。他冲进战火堆抱起标识弹放上装甲车，红色烟雾笼罩在他身后，义无反顾开进敌军大本营，壮烈美令人叹为观止，很喜欢，也哭的不行。
270$25845392$长津湖$熙熙攘攘$2021-10-01 23:32:48$149$老一辈英雄先烈永垂不朽。
271$25845392$长津湖$维维豆奶$2021-10-01 23:32:20$115$五星给战场上的英雄们
272$25845392$长津湖$傻扒煜$2021-10-05 12:46:07$86$剪辑问题很大 电影分裂成三段 第一段是最难看的 非常尬 第二段开始狂轰滥炸 第三段升华非常的草率 几个冻死的军人一个镜头直接带过 很不应该 最后提一嘴特效 非常稀烂
273$25845392$长津湖$我没鑫鑫酷$2021-10-10 11:21:17$38$此片不足以致敬最可爱的人
274$25845392$长津湖$梦殇$2021-10-01 18:39:43$144$人民英雄永垂不朽！！！
275$25845392$长津湖$yqqqqer$2021-09-30 16:35:36$342$祖国河山真美 陈凯歌真牛 战场情境真实 最后兰晓龙本子也很牛 人物群像做的太好了 观众的视角就是易烊千玺的视角 和平真好啊
276$25845392$长津湖$(  ˙༥˙  )$2021-10-01 17:09:22$63$平河好帅！！ 这片子太长了，超多打斗场面，镜头很晃，整得我头晕！！总的来说演员质量都很高
277$25845392$长津湖$Виктор$2021-09-30 14:17:16$314$哪有什么超人，大家都是血肉之躯，但是荣誉与信念永不消亡。
278$25845392$长津湖$听故事的人$2021-10-06 19:36:48$23$场面震撼，热血沸腾，但是真实情况要比电影呈现的艰难恶劣的多，在冰天雪地里如何艰难行动，极端天气下的面部管理，冻土豆多难得，踏着战友的尸体前进，绝境中志愿军钢铁般的信仰等等都应该更真实到位，很遗憾并没有。
279$25845392$长津湖$茴音$2021-10-01 09:05:22$197$本以为三个小时会很长，然而完全没有注意到时间流逝地这么快，每个关键剧情出现的节奏相当紧凑，人物刻画也很细腻。唇寒齿亡，抗美援朝！每一位上战场的都是英雄！致敬每一位英雄！
280$25845392$长津湖$张屠户$2021-10-18 16:29:30$42$拍的太一般了，我军政治建军的灵魂根本看不到。
281$25845392$长津湖$爱殇💔$2021-10-01 15:19:17$109$"没有冻不死的英雄，更没有打不死的英雄。
我想让我哥瞧得起我
千万老百姓的孩子听到一声令响分分出战。
剩余红旗之下，长于春风之中，我们的和平都是先辈的鲜血换来的。
愿祖国繁荣昌盛，世界和平美满"
282$25845392$长津湖$Mr. random$2021-09-30 21:54:06$75$"4.5
很连贯的主旋律电影，大场面看得进去，180分钟的剧情也值得一看。"
283$25845392$长津湖$iMark$2021-09-29 23:46:02$112$整体还不错，有段描绘长城山峦波澜起伏的景色很亮眼。剧情有两波高潮。很然，很爱国主义，很国庆档。
284$25845392$长津湖$在路上$2021-10-01 17:36:25$123$场面宏大震撼，节奏紧凑，无数普通战士为国牺牲的精神令人感动，像他们致敬！
285$25845392$长津湖$Envy Ryu$2021-09-26 16:54:00$94$中国电影战争场面的天花板，三个小时时长完全没让观众觉得冗长，每一个人物包括配角都形象鲜明，这几点非常可贵。但还是有《1921》相同的转场衔接生硬毛病，不知道是不是该算黄建新的锅。陈凯歌贡献了一幕名场面，拉开火车车厢，映照在朝阳下的万里长城，浪漫至极。林超贤的枪战动作戏给劲。
286$25845392$长津湖$结木$2021-09-29 12:46:31$559$"看的点映。本来想了半天短评怎么写分怎么打，看了有些评价觉得真离谱啊，影片里的台词已经有很强的思想性了，如果因为审美差异出现不同意见和好坏评论很正常，有的恶意质疑立场的真怀疑是没动脑子想还是反装忠呢，于是被气到了。
震撼、感慨、还有恰到好处的克制，在宏大的立意和爆炸的场景中还能克制住，每一个人物每一个都很生动，很难得。"
287$25845392$长津湖$多多多夕$2021-09-29 16:36:54$599$这个电影让我感觉很成功的一点，是群像的刻画。没有因为群戏而弱化个人的形象，也没有把过多的镜头集中在个别角色身上，导致其他角色被忽视，我可以在观影结束后记住他们每一个人，说出他们的性格特征。这就是立人物上的成功。全场最佳吴京&amp;胡军。
288$25845392$长津湖$死生契阔💞$2021-09-26 20:17:19$235$"《长津湖》—第七穿插连在战场上舍生忘死、浴血奋战，“我们出生入死 就是为了让我们的后代不再打仗”。新中国🇨🇳开国之战，是伟大的战役！全程看的热血沸腾，情绪一直跟着电影走，鸡皮疙瘩没消过，非常感动，非常震撼！（流了很多泪水😭）
千玺这次塑造的角色再次颠覆了我对他的认识，万里跟小北和韦一航区别很大，万里从江边的野孩子成长为英勇顽强的志愿军战士这个过程，期间的各种变化被千玺演绎的非常好，有几处眼神戏太抓人了，非常惊喜，真的是有无限可能的天才青年演员，我给满分👍！
“希望下一代 能够活在一个没有硝烟的年代”，如今繁华盛世，如你所愿❤️。"
289$25845392$长津湖$努力努力再努力$2021-10-03 16:45:59$49$新中国成立初期不被认可，美国肆意妄为越过鸭绿江轰炸我国境内，无所畏惧的志愿军保卫国家安全踏上半岛作战，武器装备后期补给差距简直是天壤之别，美国建国尝到了初败，耻辱的在停战协议上签字！我们的对手是当时的世界第一，而我们新中国当时是一穷二白。看到有人还在说我们惨胜，这种胜利不值得拍摄电影。我心痛，我痛心疾首，作为一个爱国者，我真的伤心。虽然惨胜没错，但是只要是深入了解当时作战情况的人我相信他会觉得我们是胜利者！为什么我的眼里常含泪水，因为我对这土地爱得深沉。
290$25845392$长津湖$东枫IcbM$2021-10-06 23:52:06$100$一起看过的电影266。基本感觉不到3个小时的流逝，中间的遭遇战非常精彩，很有红海行动救大使那段的气质。败笔1，美军形象依旧假大空，台词配音像英语新闻联播；败笔2，硬要扯一段大榆洞的情节画蛇添足，教员下定决心出兵和个人家庭安危完全两码事没必要用这种情节刻画；败笔3，正题长津湖下竭隅里战斗又双叒叕变成了人海冲锋，美军真是傻子吗这么多人挤一起机枪也没撂倒几个；败笔4，杨根思的故事是没机会上大荧幕了吗？非要接在这后面，冰雕连不是要拍吗，这么多部抗美援朝题材电影都是各自为政想挑哪段就哪段
291$25845392$长津湖$笹川京子$2021-09-30 17:36:57$63$感谢先辈们的付出，祖国才变得强大，我们才能生活得幸福。😭
292$25845392$长津湖$豆友207288382$2021-10-01 08:55:06$32$后续乏力，最后一口气没有撑圆满！
293$25845392$长津湖$叫我狗子就好$2021-10-01 23:32:43$208$一声“巴祖卡”，龙文章都变身张立宪了，直接引爆了强烈的共鸣。同样都是兰晓龙的编剧，中国远征军远赴缅甸，中国志愿军远渡朝鲜，虽然属于不同的阵营，但都刻画了普通士兵的艰辛，最后冻僵的战士们真的泪目。三位导演文戏很弱那我们就大篇幅的武戏的策略真的很成功，刺激肾上腺素去渲染英雄主义我觉得很好，凭什么中国不能有英雄主义嘛，我爱中国。
294$25845392$长津湖$江笑千$2021-10-10 00:04:08$42$单位组织观影。典型的主旋律任务片，雷声大雨点小，面面俱到但人物脸谱化，哪怕哪个角色拍得从容点，细节点呢，三个小时都在堆砌。很多爆炸特效做的很假，美军全程工具人，说话像演讲。也就老段一句“多大啦”感觉真实的触动。加一星给志愿军战士。
295$25845392$长津湖$荆轲白凤$2022-02-24 12:03:57$27$我朝的战争戏总是这种飞机大炮噼里啪啦乱打一通，再辅以将士们壮烈牺牲的催泪场面。有时候展现战争的残酷不一定非得这样。
296$25845392$长津湖$睿睿小天使：D$2021-09-29 14:20:57$791$"看那兔时候，就因为抗美援朝部分疯狂落泪。之前只知道抗美援朝很伟大，很艰难。但是究其根底是为了什么，好像又不是很明白。很开心这几年各类影视剧陆续重新这部历史。回归作品沈本，我内心国内战争片top1，三个小时时间真的嗖就过了，全员演技在线，七连的这几位都深刻又饱满。没有刻意煽情但是还是哭了，很多可以采用历史资料的全都重景再现，战斗效果拉满，甚至看2D片看出了3D的效果。
“打得一拳开，免得百拳来。”教员和毛岸英，火车外的长城，战士们放在怀里的冻土豆，雷公的沂蒙小调，万里的“成为英雄”，都在疯狂落泪。我们国家是为什么要打仗，在多艰苦的环境下打的这场仗，我们无法记住每一位牺牲者的姓名，但是一定要记得他们是为了谁。愿国泰民安，祖国富强。"
297$25845392$长津湖$一万尺$2021-10-02 09:18:27$96$"陈凯歌这次没拉胯
开头的飞机、轰炸让我血压都上来了，工业国打农业国就是这么降维打击。落后就要挨打，这五个字蕴含着深刻的哲理。
军人的纪律还是让我很震惊和感动的。最近在学思修法基，我觉得要理解这种精神，首先要牢记我们的经济基础是公有制，经济基础决定上层建筑。
有几个场景看得我血压升高，但也很无奈。刚缴的装备被美军派飞机炸没了；没有制空权，在石之海那里就是活靶子，帝国主义以杀人为乐，最后一点事也没有。科技强国，这都是血淋淋的教训。
遗憾是我有点脸盲，还有对历史知识了解不够。看到美军将领的名字，只觉得好像听过，但他具体实力如何并不了解。
电影之展现了抗美援朝中的冰山一角，光是这，也就才一个月的战斗，很难想象抗美援朝实际上打了三年。最后，向英勇的人民志愿军致敬！"
298$25845392$长津湖$快乐宝贝妈$2021-10-01 08:39:12$207$非常震撼的一部电影，画面也很唯美，体现了祖国山河的壮大以及美丽、中国人民的强大，为了我们的未来，不再遭受销烟的惨烈，这么多志愿军前往朝鲜奋战，英勇坚定的以落后的武器和贫乏的资料面对强大的美军进行抗击，并且取得了决定性的胜利，感谢志愿军们的付出！全程三小时没有尿点！
299$25845392$长津湖$时光的秘密$2021-09-30 14:26:14$39$战争场面拍得很震撼，让人跟随着一个年青的新兵一起感受到战争的残酷。作为中国人看这个和看一般的战争大片是不一样的，可以很深刻地感受到中国人那种坚强不屈，奋勇向上的精神！总体也挺流畅，值得去影院感受一下。
300$25845392$长津湖$奇怪了叭$2021-09-25 20:19:06$273$今天下午去看的首映礼 电影长津湖完全就是我们自己真真切切的历史 对于历史较差的我 可以说是提供里一个学习有关抗美援朝历史的机会 电影更加直观 真切的让我体会到了战争的残酷和战士的英勇 他们是勇敢的 坚定的 电影完全值得IMAX 多次我感觉美军的飞机都要冲出来了 音效特高清 完全沉浸在电影里 易烊千玺完全就是天生的演员 有实力 有演技 电影里还有一些比较搞笑的点 演的都很到位 推荐这部巨作 高逼格的一部电影 让我们得知如今和平生活的来之不易
301$25845392$长津湖$End尘衍$2021-10-02 22:04:14$50$三个小时，历史的厚度。
302$25845392$长津湖$今天听课了吗$2021-09-30 15:12:23$246$看完片子真的接触了那段历史，那群可爱的人的坚持
303$25845392$长津湖$灼眼的明日香$2021-10-03 15:39:12$164$散乱的叙事
304$25845392$长津湖$上下求索$2021-09-30 09:48:51$374$"这封信告诉先辈们：

请放心。

你看，未来没有辜负你们。
社会主义绝不会辜负中国。"
305$25845392$长津湖$虎斑郡主$2021-10-05 19:09:51$101$胡军真的太高光了 😭
306$25845392$长津湖$omom$2021-09-30 16:27:19$59$沂蒙山小调一出来我就😭😭
307$25845392$长津湖$Miss.ff$2021-10-01 18:20:37$134$我们要永远记得五星红旗是用鲜血染成的，硝烟战争是血与肉的拼搏，而我们现在是没有硝烟的战斗，所以我们即使在和平时代也不应忘记增强自身本领，为自己更是为国！
308$25845392$长津湖$兰龙$2021-09-30 17:41:26$372$感动了！胜利来之不易！
309$25845392$长津湖$子华回水啦$2021-10-04 18:31:50$74$23 拍得不好，特效不好，人物不好
310$25845392$长津湖$那人$2021-10-07 15:49:57$49$深受爱国主义教育！值得去看！！
311$25845392$长津湖$Rick$2021-10-01 12:45:59$48$✌️
312$25845392$长津湖$阿龙悠悠$2021-09-30 00:38:34$334$中国战争电影影史最佳！
313$25845392$长津湖$无敌睡神江大桥$2021-10-08 23:58:19$33$客觀來講，故事沒有說清楚，有的地方令人摸不著頭腦，想表達的太多，反而沒了重點
314$25845392$长津湖$SOLARIS$2021-10-04 19:45:13$69$唯一有印象的画面，竟然是雪地里踱步的太祖。“该打的仗都打完了。”
315$25845392$长津湖$要留住月$2021-10-03 22:54:55$38$严格点，三星半。花了钱的大场面，但是总体感觉一般，不是我喜欢的战争片类型。可能这部电影 商业意味，政治意味，甚至拍摄的政治意义都要大过于这是一部电影。具体演员演技的话只觉得胡军演得好，段奕宏的片段不太长但也算好。其他人甚至被长时间的战争场面轰得有些面目模糊。说实话吴京本人很像个兵，但是感觉谈不上特好的演技。另外我觉得小钱没咋进步，我不懂是战争片的缘故还是别的什么，继续磨吧。祝中国电影能在电影的方向上越来越好。
316$25845392$长津湖$Simple$2021-10-01 21:54:23$46$三个小时看起来我也不漫长，演技没得说，制作没得说，扣掉的分是因为情节，bug真的不少。
317$25845392$长津湖$傲翔$2021-10-11 12:43:21$27$片子倒也不差，但我可能不会再完整地看第二遍了，太累了
318$25845392$长津湖$陈韦同$2022-05-17 00:35:55$9$长津湖战役拍的避重就轻，重点是单衣冻死减员严重。有体现吗？没有。相反，全是炸死的。各种血肉模糊的特写，无处不在彰显，这是献礼片，过审标准不同于普通电影。但好歹给几个冻掉肢体的画面吧？
319$25845392$长津湖$wzdsszm$2021-10-20 16:44:03$41$三颗星全部给前半段，拍出大兵瑞恩水平，后半段坦克大决战+加里森敢死队+最后的武士，士兵总会开汽车，驾驶对方坦克击毁对方坦克，用巴祖卡击落飞机，用吉普装载标识炸弹追击敌方装甲部队，太扯了。团级冲锋人海战术在淮海已经证明无法战胜现代敌人，包抄合围+三三制+炮兵伴随才是以弱胜强的王牌。
320$25845392$长津湖$魔力水族$2021-11-16 21:50:47$4$期待更多这样的主旋律影片
321$25845392$长津湖$DYH$2021-10-01 18:20:18$44$毛在雪里踱步的时候绷不住了😭
322$25845392$长津湖$盛夏光年$2021-10-02 17:18:25$23$感动，但是小失望，三个导演1+1+1反而小于2，这个类型适合林超贤加冯小宁。
323$25845392$长津湖$Siddhartha$2021-09-26 07:13:47$67$一个导演连贯性可能好点吧
324$25845392$长津湖$Stanley Wind$2021-09-30 13:28:52$383$三个导演厉害了。还是挺适合国庆看的。三个小时没多少尿点。最后希望世界永远和平
325$25845392$长津湖$IU！$2021-10-01 23:33:02$34$电影整体7.5吧  特效确实一眼假 美军刻画的有点弱 志愿军精神+0.5！
326$25845392$长津湖$黄悦_$2021-10-18 16:27:44$1$四星。想冲票房 然而票价和时长都不太友好 但是作为一个中国人 还是强烈建议大家去看。1. 电影的设定没有把敌人弱化这点好。很多战争片都选择把对方设定得贪生怕死鲁莽笨拙 但对面是著名的北极熊兵团！要知道 敌人强大 才能显示出我们的胜利多可贵。2.全片最感动我的 是七连战友在火车上报自己的名字 无论角色是真是假 这些都是我们应该记得的英雄！同理可证 伍千里一下子就说出了下属的归属地 这样的连长谁都爱。4.段奕宏拉着易烊千玺说话那一段演技太强了 长官就应该有这样的气势！5.最后想说 你们去搜搜毛岸英的照片 黄轩和他真的太像了！
327$25845392$长津湖$十六不爱吃石榴$2022-03-26 13:12:19$8$此生无悔入华夏 但会后悔进电影院浪费了三个小时的生命
328$25845392$长津湖$旋转晚风$2021-10-05 08:57:49$36$电影很一般，杂乱。（但战争永远使人敬畏）
329$25845392$长津湖$初冬拾五$2021-09-30 17:41:02$337$中国人民志愿军永垂不朽
330$25845392$长津湖$www$2021-10-01 17:36:14$90$挺值得一看的
331$25845392$长津湖$小虫虫$2021-10-03 11:29:59$51$太震撼了，为了我们的下一代，这场战争我们必须打”。
332$25845392$长津湖$皆若空游无所依$2021-09-30 10:20:03$363$已经在影院了呜呜呜晚上二刷太感动了哭死了妆都哭瞎了
333$25845392$长津湖$馨儿$2021-09-29 10:38:15$486$"《长津湖》是我看过关于抗美援朝最好的一部电影，故事线清晰，人物塑造鲜活，使人很快进入电影里，跟着演员们回到那个残忍无比的战场中。这部影片无论是剧本，场景，演技都堪称一绝，整个制作值得称赞，几位演员的表现必须好评。印象深刻的台词：这个仗我们不打，就得留给下一辈打，我们把该打的仗都打了，我们的后辈就不用打了。

用真实、震撼、感动来总结这部电影，《长津湖》值得一看！"
334$25845392$长津湖$路不过$2021-10-02 09:19:48$38$伍万里的眼神和雷公的笑，伍千里的人情味让我相信他的号召力。为了人民牺牲的战士都是真正的英雄啊。不过这故事应该还没结束吧？虽然命名如此，期待一下下文。
335$25845392$长津湖$飞鸟$2021-09-29 18:40:15$640$"超出预期，三位导演倾力合作，给观众带来三个小时的精彩的观影，志愿军太不容易了，最冷到零下40度，美军圣诞大餐，志愿军一天只有一个小土豆。剧情紧凑，引人入胜，吴京几场近身搏斗特别精彩，喜欢胡军饰演的“雷爸”，演技好性格可爱。
电影还原真实的战争场景，美军现代的武器装备，志愿军靠着强大的毅力决心把敌人打败。
"
336$25845392$长津湖$Aki$2022-01-15 22:40:09$19$我爱国，也爱电影。
337$25845392$长津湖$Echo容©®$2021-09-30 17:34:13$45$感谢和平。
338$25845392$长津湖$卢世伟$2021-09-29 10:06:07$33$"提前观影战争大片《长津湖》
观影时坐在第三排
虽然看的有点晕，却也更增强了临场感
对，这真正是一部身临其境的大片
坐在影院大银幕铺天盖地的直逼之下，犹如置身战场之中，直面战争的残酷
每一颗炮弹，每一簇战火，每一滴血珠都历历在目，直击在身，很难不在血淋淋的激斗中真切感受到身为战士们的艰辛与壮烈
深为震撼
这是一部感受型的片子
推荐在大银幕氛围感的环境中观看
更有那种感同身受的深切体验"
339$25845392$长津湖$0x0.beta$2021-09-29 22:37:04$731$过瘾
340$25845392$长津湖$群演hichens$2021-10-03 11:28:24$39$7分，雷公才是最可爱的人
341$25845392$长津湖$Asuna$2021-09-30 16:26:34$199$对不起我泪点太低了……
342$25845392$长津湖$木搜波！$2021-10-01 22:56:24$130$"京哥玺弟249，立国之战长津湖，还有比这更让人期待的嘛？！

期待了好久，今天终于看到了！看完三个小时出来快得战斗机蜂鸣ptsd了。雷公和梅生这两个人物塑造得很好，小万里特别鲜活可爱，好想怒搓他“狗头”😭😭😭😭千玺人物把握得很好，台词进步飞快，一口一个老子的那嘚瑟样真的有点彪的感觉。全片并不煽情但很令人动容，致敬最伟大的中国人民志愿军！

缺点当然也很明显，第一我个人相比于大场面的战争戏更偏向战术人物等方面的文戏，第二为啥都不说方言啊！！！"
343$25845392$长津湖$毛线太有才了$2021-10-01 12:29:22$102$看完久久不能平静。珍惜来之不易的一切，先辈用血肉挡住了炮火，换来了共和国之后的和平。让我在2021年可以想吃什么吃什么，想去哪里去哪里，可以去影院看电影，还可以给电影打分。我没资格评价电影里各种形象背后的真实写照，反应在我眼前的就是一部血染红的历史，英雄先辈永垂不朽！
344$25845392$长津湖$么么儿$2021-10-02 22:54:39$37$他们以那样直观的方式倒在你面前时你才能真正意识到那近二十万的牺牲不仅仅是个数字
345$25845392$长津湖$似景流年$2021-10-01 19:52:52$61$不管是百里千里，还是万里，都抵不过电影本该拥有真情实感的一里。
346$25845392$长津湖$守得云开见月明$2021-09-29 11:41:23$614$印象深刻的还是吴京饰演的伍千里，这位七连连长，在他拿着笔要在本本上画XX（不想剧透）的时候，我眼泪就忍不住了，这是内心怎样的挣扎，这是内心怎样的痛苦，这是内心怎样的决绝。还好，他们有着强大的信念，他们没有过多抒发情绪的时间，也很感谢那些为了新中国，新生活出生入死的烈士们，我们将铭记于心！电影战争场面震撼，气势恢宏，不容错过！
347$25845392$长津湖$橘子小aa$2021-10-28 16:13:10$21$"●7.0分
●2021.10.28
●中心不明，支线太杂，台词、演技太浮。看的是自行脑补的对真实历史的感动。
最后的冰雕连还是让我落泪了。
"
348$25845392$长津湖$一颗桃子$2021-09-26 23:34:10$595$看的昆明场首映，从剧本到导演到演员都是五星的水平，非常享受的三个小时视听盛宴，尤其是imax的音效非常震撼，然鹅这么优越的画面也只是这个电影其中一个优点吧，值得夸赞的地方可太多了。正式上映会二刷嘿嘿。
349$25845392$长津湖$顾大海$2021-10-02 17:16:38$15$首先，向志愿军致以最崇高的敬意，他们是英雄，是史上最强轻步兵，也是最可爱的人。这部电影啊，虽然是难得的好片，但是作为军迷和曾经的军人，总觉得差点意思。真没想到，影片中居然没有水门桥，相较之下，乱石滩空袭和炸毁通信塔这两个重点部分，显得可有可无，完全可以精简或删除。而结尾部分，特级英雄杨根思和冰雕连，处理的太草率了。
350$25845392$长津湖$韦斯安徒生$2021-09-30 21:50:41$16$原来不间断的爆炸也算是带有催眠效果的白噪声，我上次大白天在影院睡着还是看「变形金刚4」，真诚推荐给最近睡眠不好的朋友，即便你在观影时没睡着，看完之后大概率也会累的想赶紧睡一觉。
351$25845392$长津湖$一个大胆的想法$2021-10-01 21:54:46$88$单凭第一场战争戏，我愿意给5星，第二场戏不像一个人拍的。电影对比父辈里的抗美援朝好的多，千玺比吴磊也好太多
352$25845392$长津湖$小星星_Yee$2021-10-02 09:16:02$76$看完简直非常震撼，台词有一句说如果我们不打仗，这仗就要我们的下一代来打，直接给我整破防了。我们生在和平年代，有幸替先辈们看过这和平盛世，走过这万里山河，多么希望他们也能看到😭
353$25845392$长津湖$sTill-Life$2021-10-26 23:21:19$10$哇，三个小时的小作文。
354$25845392$长津湖$木㐅水$2021-10-03 09:56:50$42$为什么战旗美如画？英雄的鲜血染红了她！
355$25845392$长津湖$乌辞$2021-10-01 17:36:25$97$为了七连！
356$25845392$长津湖$吃饭就好了$2021-10-06 13:26:44$9$"电影打仗场面很激烈，但人物形象刻画不足，也看了些别人的影评，某些观感一致。
几乎没有女性角色，冻成冰雕、杨根思等没有前因后果，主角们成了战场上的传奇，四字演的角色算是当了个镜头，也是想从他来表现战争中的另一面和成长，但这需要的篇幅过大。
胡军演的雷公算是最出彩的角色，朴实又感人。梅生也可以，连平河镜头不多也显得精彩。伍千里、伍万里和余从戎则构成了战斗和特效下的爽剧部分。
很多地方想表达但没有铺垫，又戛然而止，就成了轻飘飘。
但整部影片极其感人，因为伟大的人民英雄。
这场仗如果我们不打，那就是我们的后代来打。想想还是流泪"
357$25845392$长津湖$日瓦戈医生$2021-09-25 20:28:32$709$没有人喜欢战争，没有人想要战争。他们坚定是因为他们相信，他们有最朴素的愿望。他们相信，把这场仗打了，孩子们就不用打了；他们相信，分到手的田地不能拱手让出；他们相信，有些枪不得不打，有些枪可以不打。
358$25845392$长津湖$登 徒 子 🤩$2021-10-02 23:42:25$38$电影就不评价了，谢谢先辈们给我们带来了现在的生活！
359$25845392$长津湖$yyyyccch$2021-10-03 22:54:05$33$"三个半
易烊千玺台词好差 太出戏了
林超贤 徐克 陈凯歌三剑客搭配不错
朱亚文真帅"
360$25845392$长津湖$老近卫军$2021-10-13 10:11:49$20$今年最令人失望的电影
361$25845392$长津湖$李社长$2021-10-01 22:42:30$14$工工整整，优点缺点都很明显。枪战确实很激烈过瘾。前面铺垫太长了，有点头重脚轻的感觉，重点不突出。剪辑太碎片化，故事逻辑连续性不太好。
362$25845392$长津湖$October$2021-09-30 13:29:45$353$感触太多了 言语难以表达
363$25845392$长津湖$ᕕ( ᐛ )ᕗ$2021-10-05 18:20:45$18$3.6，里面含1分我对抗美援朝的致意。大场景和配乐很宏伟，故事线总体还不错（有一些不合理的）吴京和胡军演技很好。除了这些以外，美美美美的演技和朱亚文的突然朗诵，美军宛若英语听力的配音，以及迷之ppt拼接的多人分镜都大大拉低了这部片的水平。可以花50，但是绝对不值得70………
364$25845392$长津湖$卡西莫多$2021-10-02 15:44:04$42$"烽烟滚滚唱英雄，四面青山侧耳听，侧耳听，晴天响雷敲金鼓，大海扬波作和声，人民战士驱虎豹，舍生忘死保和平。为什么战旗美如画，英雄的鲜血染红了它，为什么大地春常在，英雄的生命开鲜花！

"
365$25845392$长津湖$喂$2021-10-01 18:20:20$110$三个小时全程精彩！好看！（有的画面太美了）
366$25845392$长津湖$深水怪$2021-11-16 21:52:22$6$不负英烈，雄赳赳气昂昂
367$25845392$长津湖$蓑衣人$2021-10-05 19:09:48$28$没有战争的真实感
