$movie_id$movie_title$comment_user$comment_time$comment_vote$comment_text
0$26270502$绣春刀II：修罗战场$小鬼家的师公$2017-07-15 17:06:00$1696$“由于经费用完，所以只能自己做了”
73$26270502$绣春刀II：修罗战场$掉线$2017-07-19 22:06:13$38$【B-】剧情从动作片变成了政治惊悚片。摄影，剪辑，服化道各个技术指标都比第一部上了个档次。缺点也和上一部一样：只有武侠的身段却没有武侠的气度。角色是武侠式扁平薄弱的，故事落点却又总在人物情感里拘泥，结果就是不感人还有点尴尬。另外路阳是不是有“英雄救妓女”的幻想情结？两部都这样了
74$26270502$绣春刀II：修罗战场$张道名$2017-07-15 17:00:44$54$武术指导喝多了？ 剧情混乱，主线不清。  倭刀术看的人尴尬 戚家刀法是这么用了？
75$26270502$绣春刀II：修罗战场$小岩井$2017-09-04 11:02:14$34$对我提醒最深的就是那句话：都是小角色，说什么大话。生在这个世上的小人物，只为让自己在意的人活下去，就拼尽了全力。
76$26270502$绣春刀II：修罗战场$寂寞冷落清秋$2017-07-15 22:26:43$309$基本锁定2017华语年度最佳。前作的优点都有延续和升级，整部电影克制、工整、冷静、点到为止没有丝毫废话。北斋楚楚可怜又脉脉含情的眼神完全激发保护欲。人物、故事、摄影、配乐基本找不到瑕疵。路阳很会拍，不仅是故事剧情，沈炼和北斋各种帅到发光美到发光。
77$26270502$绣春刀II：修罗战场$陈灼$2017-07-20 01:00:07$127$杨幂你在里面到底是干嘛的……
78$26270502$绣春刀II：修罗战场$人间淹没$2022-12-10 20:37:36$40$男女主整部戏的感情戏加起来，抵不过陆文昭最后那只抬起来想摸摸丁白缨的脸却又放下的手动人。
79$26270502$绣春刀II：修罗战场$宋小君$2017-07-22 21:40:13$58$《绣春刀2》很不错，仿佛给武侠片吊上了一口仙气。政治斗争中，小人物就像被皮鞋踩死的蚂蚁，皮鞋不觉得残忍，蚂蚁甚至不能被称作是牺牲。皇权之下，魏忠贤啦和珅啦不过是留给下一任皇帝的磨刀石和取款机。
80$26270502$绣春刀II：修罗战场$安宕宕$2017-07-17 22:03:23$51$这是一个：一小撮人把一大票人踩在脚下，最后这小撮人被一个人踩下去的故事。
81$26270502$绣春刀II：修罗战场$内陆飞鱼$2017-09-02 15:52:23$19$和第一部水准相当，整体还不错，就是缺乏共鸣，三星半，张震和女主角的感情戏总是经不住推敲，爱也匆匆，去也匆匆，特效有一些塑料感，人物缺一些底蕴，场景缺一些空间感，张弛之间还可以有更多细节，路阳可以看看胡金铨的书，看看胡金铨拍的明朝。
82$26270502$绣春刀II：修罗战场$波波维奇$2018-01-25 18:20:51$67$张震，雷佳音不错，但是.……
83$26270502$绣春刀II：修罗战场$Sam Who$2017-07-19 01:34:15$463$各种五星见证了托们的水平，夸都没夸到点子上，第二部的动作设计居然都有人夸，武术指导恐怕是这部戏最差的环节了，基本都考剪辑和音效。文戏方面没有金刚钻就别揽瓷器活，人物关系搞得错综复杂，但根本没有形成让人紧张的对立关系，完全不如上一部。加上没有魅力的人设（周一围），首映让人昏昏欲睡。
