$movie_id$movie_title$comment_user$comment_time$comment_vote$comment_text
85$1292213$大话西游之大圣娶亲$Panda的影音$2011-11-13 23:56:37$21$紫霞：我从来都不知道，原来爱一个人是这么痛苦。-- 唐僧：打雷啦，下雨，收衣服啦！（讲到，电影的不足之处，顿时产生了这样的看法：当我真心喜欢上一部电影时，就多少选择忽视、不那么计较它的缺点。电影，如此；人情，亦是如此：爱一个人，并不意味着要喜欢上对方的全部，而是要包容心上人的不足？）—— 2014.06.11：在中国电影资料馆（艺术影院）重温观影。
86$1292213$大话西游之大圣娶亲$有没有红茶呢$2022-08-20 19:25:05$35$感觉有些过誉了，get不到里面的感情线，难道不就是至尊宝人见人爱嘛..感觉有点尬，自我代入至尊宝的男的会不会其实是猪八戒呢
87$1292213$大话西游之大圣娶亲$乱樂$2018-01-12 03:29:52$51$星爷永远的经典
88$1292213$大话西游之大圣娶亲$热心网友方先生$2017-02-05 22:11:36$29$小时候只是在看搞笑，现在在看一遍。满满的无奈，有很多感慨。不愧是经典之作，看完以后好多画面重现在眼前，至尊宝拔出紫青宝剑那一刻，紫霞拿剑刺向至尊宝那一刻，孙悟空背着金箍棒走出城外的那一刻。这样的结局虽然是不幸的，但世上爱情不就是这样的吗？
89$1292213$大话西游之大圣娶亲$懂棒棒宇宙$2011-06-12 15:25:08$36$我看到的是一出痛徹心扉的喜劇，而且這樣的戲以後再也不會有了
90$1292213$大话西游之大圣娶亲$默默的蘑菇$2017-01-01 22:07:14$93$当年看的的时候还小，就觉得很好笑，还有朱茵长得好漂亮，个人觉得大话西游和唐伯虎点秋香是周星驰的巅峰，而最后的残阳是长江七号。
91$1292213$大话西游之大圣娶亲$Vicon$2017-07-30 00:42:40$97$小时候，看着看着就笑了；长大后，看着看着就tm关了
92$1292213$大话西游之大圣娶亲$玄马$2017-04-15 18:39:40$40$那些说情怀圈钱抵制重映的，真该在现场看看满座的盛况。二十年前的电影还能满座，而现在的这些垃圾二年后还有谁记得？坐我身边的小哥从头欢乐到尾，还不时跺脚拍大腿，到了尾声，小哥摘了眼镜抹眼泪，我都要惊呆了因为我已经看过十几遍了。
93$1292213$大话西游之大圣娶亲$吴邪无忧$2016-08-08 15:39:32$100$经典，还有那句台词“喜欢一个人需要理由吗？需要吗？不需要吗？需要吗？”
94$1292213$大话西游之大圣娶亲$koala$2014-10-26 12:57:56$34$小时候看不懂的，是“造化弄人”这几个字。小时候我只记得最后决战的千钧一发，我不懂人会真挚的爱上几个人，不懂爱如咳嗽一样是无法抑制的，不懂这世界有那样多我们无从掌控的事，就如命运的轮回，再努力挣扎也跳不出去。在那什么都不懂的当年，留下的只有那一滴泪。而后走上漫漫取经路，一切一肩承担
95$1292213$大话西游之大圣娶亲$Ocap$2016-07-04 19:11:41$28$某个周日晚看完，至少连续两周无法出戏，严重影响备考复习，不过太值得了。从此以后我唯一的天朝女神就是那时候的朱茵了，此始而终不改。大话西游两部合成一片来看，赢得了我心中的影史四最：最高境界的无厘头，最私人的大众电影，最无需逼格衡量的仙片，最没有架子的神作。→17.4.23影院二刷。圆满。→20.8.13 影院第三刷with 睡着的fhl。
96$1292213$大话西游之大圣娶亲$东篱$2018-03-06 09:54:35$124$"我的意中人是一个盖世英雄。
上天既然安排他拔出我的紫青宝剑，
他一定是个不平凡的人，
错不了！
我知道有一天他会在一个万众瞩目的情况下出现，
身批金甲圣衣，
脚踏七彩祥云来娶我！"
97$1292213$大话西游之大圣娶亲$千寻亿选$2011-01-04 15:13:56$29$大话西游两集的票房高达4600万，位列当年票房第6和第8，怎么会导致星彩公司倒闭呢？
98$1292213$大话西游之大圣娶亲$呀酱$2022-06-21 06:35:40$29$深夜，重看了《大话西游》上下部，大恸，尤其是下部，仿佛从来没有看过似的，悟到了爱情片的精义：爱上一个人，不需要理由。所有的一本正经，都是虚伪；只有一本正经的胡说八道，才是真诚。年轻时不懂这些，懂了这些时，却已无可诉说。影片剧作之繁复，在港片史上可谓空前绝后，悟空的无数分身，紫霞的一体两面，剧作者犹可控，而时空的跳跃与裁剪，则纯是上帝在捉刀了。今天的年轻人已经习惯无厘头的艺术风格，但是在当年，这是石破天惊的艺术突破，周星驰改良并丰富了中国文学的叙事手段，进尔改造了国民性，他对当代中国文化的影响，可能大于所有人。感谢周星驰，孑孑然，遗世而孤立，保存了赤子之心，当影迷无耻老去时，他依然站立在90年代的夕阳里，真纯不改。
99$1292213$大话西游之大圣娶亲$momax$2017-04-11 07:36:05$32$喜欢的话，在家里多刷几遍就好，不要变成某些人炒冷饭，骗钱的对象！情怀迟早一天要消耗光的！
100$1292213$大话西游之大圣娶亲$Ocap$2016-07-04 19:11:41$28$某个周日晚看完，至少连续两周无法出戏，严重影响备考复习，不过太值得了。从此以后我唯一的天朝女神就是那时候的朱茵了，此始而终不改。大话西游两部合成一片来看，赢得了我心中的影史四最：最高境界的无厘头，最私人的大众电影，最无需逼格衡量的仙片，最没有架子的神作。→17.4.23影院二刷。圆满。→20.8.13 影院第三刷with 睡着的fhl。
101$1292213$大话西游之大圣娶亲$东篱$2018-03-06 09:54:35$124$"我的意中人是一个盖世英雄。
上天既然安排他拔出我的紫青宝剑，
他一定是个不平凡的人，
错不了！
我知道有一天他会在一个万众瞩目的情况下出现，
身批金甲圣衣，
脚踏七彩祥云来娶我！"
102$1292213$大话西游之大圣娶亲$三十八级台阶$2016-03-27 18:30:45$54$我一直觉得硬把人生哲理安在这样一部片子上，是赋予了它本没有的深度，给予了它本不该受的荣光。
103$1292213$大话西游之大圣娶亲$千寻亿选$2011-01-04 15:13:56$29$大话西游两集的票房高达4600万，位列当年票房第6和第8，怎么会导致星彩公司倒闭呢？
104$1292213$大话西游之大圣娶亲$呀酱$2022-06-21 06:35:40$29$深夜，重看了《大话西游》上下部，大恸，尤其是下部，仿佛从来没有看过似的，悟到了爱情片的精义：爱上一个人，不需要理由。所有的一本正经，都是虚伪；只有一本正经的胡说八道，才是真诚。年轻时不懂这些，懂了这些时，却已无可诉说。影片剧作之繁复，在港片史上可谓空前绝后，悟空的无数分身，紫霞的一体两面，剧作者犹可控，而时空的跳跃与裁剪，则纯是上帝在捉刀了。今天的年轻人已经习惯无厘头的艺术风格，但是在当年，这是石破天惊的艺术突破，周星驰改良并丰富了中国文学的叙事手段，进尔改造了国民性，他对当代中国文化的影响，可能大于所有人。感谢周星驰，孑孑然，遗世而孤立，保存了赤子之心，当影迷无耻老去时，他依然站立在90年代的夕阳里，真纯不改。
105$1292213$大话西游之大圣娶亲$雪后林中有鹿$2017-04-14 22:35:49$28$多年前我对这部电影无感，多年后依然无感，是我太年轻，还是太年老？
106$1292213$大话西游之大圣娶亲$momax$2017-04-11 07:36:05$32$喜欢的话，在家里多刷几遍就好，不要变成某些人炒冷饭，骗钱的对象！情怀迟早一天要消耗光的！
107$1292213$大话西游之大圣娶亲$甜椒Oli$2017-03-26 10:25:01$33$追求的是爱而不得。放弃的是肝肠寸断。总在追求寻找 却从不曾停下脚步转身抱抱一路追寻的人
108$1292213$大话西游之大圣娶亲$what'swilliam$2017-04-15 16:09:17$17$1.旁边有两个初中女生来看，其中一个指着白晶晶问，那个是莫文蔚？另一个回答，好像是吧。2.大银幕看起来真的不一样。3.新出现的那两个妖怪当年被剪掉是对的，因为太。山。寨。了。4.因为新增镜头前半段剪辑很生硬。5.那些20年前的笑点现在还是很好笑啊。6.其实我还是更爱《月光宝盒》。
109$1292213$大话西游之大圣娶亲$有心打扰$2011-08-21 22:07:05$49$实在是太经典了，这故事、这构思真乃绝迹了。
110$1292213$大话西游之大圣娶亲$Mr. Infamous$2017-04-13 23:31:55$23$小时候果真不懂。不知道每个女角色都那么让人伤怀，不知道朱茵美到不可方物之余还令人心缺一角，不知道神经病与理想之间差了朵七彩祥云，不知道一万年的年限会拐个弯来狠咬一口，不知道像椰子的心能把每句实话说得肠断，不知道为什么有人真的会像条狗。不知道如今看还那么搞笑，不知道真这般悲怆。
111$1292213$大话西游之大圣娶亲$西马西塔考古$2017-04-11 16:42:40$26$身为在西影厂混过的人告诉大家  11分钟里有牛魔王和铁扇公主吵架的一段 和孔雀精交手的一段还有……
112$1292213$大话西游之大圣娶亲$CCandFF$2018-01-11 16:04:16$19$2017年才看的，很经典的电影，完美的诠释了爱情，不错的作品
