$movie_id$movie_title$comment_user$comment_time$comment_vote$comment_text
0$1961963$长江七号$颜良辰$2008-02-12 12:13:47$2352$"你相信我看这部片看哭了吗。
95$1961963$长江七号$途经一个你$2017-06-14 18:39:59$3$有些地方挺感人的 徐娇的小男孩演得很好 那时候真以为她是男孩子
96$1961963$长江七号$海宝er$2012-08-12 09:26:52$0$儿童剧
97$1961963$长江七号$熊扑奶团、$2018-08-22 22:53:01$5$喜剧又感性的电影，七仔超萌。
98$1961963$长江七号$方洛洛$2013-03-12 10:57:36$5$原来父子俩心酸打蟑螂是来自星爷童年的经历呀！
99$1961963$长江七号$小肚子✨$2008-02-23 16:44:06$48$看到流泪
100$1961963$长江七号$miracle$2017-04-01 10:12:43$3$七仔很萌呀 
101$1961963$长江七号$Major LJ$2008-06-16 22:52:31$0$受不了，麻死了 
102$1961963$长江七号$胖胖$2008-06-29 17:26:20$0$星星有颗童心，敬仰。
103$1961963$长江七号$大河马$2010-06-08 06:42:45$0$和周星驰早期的电影怎么能比噢
104$1961963$长江七号$半日光辉$2011-10-11 13:05:00$0$星爷的戏份明显减少了。
105$1961963$长江七号$肉丸子$2012-08-12 23:33:24$0$没那么好看
106$1961963$长江七号$正义B胜$2010-12-22 20:58:05$0$星爷老了，老的有点快
107$1961963$长江七号$兔子国蓝眼睛$2008-05-19 22:10:58$0$除了七仔很可爱外,其他都很烂.为什么小孩子一定要说改装版琼瑶台词.- -很恶心.
108$1961963$长江七号$莫云轩$2009-08-04 10:42:24$0$乐点在何方
109$1961963$长江七号$游牧人·芳汀$2014-03-25 11:43:59$4$卖“七仔”周边赚的钱应该比票房更高
110$1961963$长江七号$REX$2010-07-10 01:29:41$0$看得都快哭了，实在是很烂！
111$1961963$长江七号$外星纪-南庄座.$2012-07-18 12:11:17$0$装13烂片 无聊到要死
112$1961963$长江七号$swan$2008-03-28 22:31:58$0$不好玩
113$1961963$长江七号$南條艾草$2009-05-01 22:07:46$0$小七挺可爱的。
114$1961963$长江七号$蛋蛋蛋大胖子$2010-11-26 17:49:48$0$一点都不好笑
115$1961963$长江七号$回忆与否之$2018-04-13 21:45:39$1$小孩应该挺喜欢，大人难免觉得俗套。笑料不算多，虽然略带想象力，但剧本还像未完成的一样，和星爷之前导演的几部作品相比，则只会软弱更多。不可否认星爷是个有追求的创作者，思考和创新的同时，不难看出他依旧保留着自己的那份童真，可能他的创作比以前弱了不少，但与其说他变了，其实我们变得更多吧
116$1961963$长江七号$宅猫$2013-02-12 14:14:41$0$小7还挺可爱的啊
117$1961963$长江七号$cowsumy$2008-06-17 14:29:10$0$几好~
118$1961963$长江七号$尔黑我！$2011-12-31 17:59:11$0$完全不想说这是喜剧片
119$1961963$长江七号$一棵开花的树$2008-07-18 13:29:48$0$不喜欢周自己导演的电影
120$1961963$长江七号$阿朴$2009-06-18 16:41:25$0$一不错的儿童片儿
121$1961963$长江七号$铁皮骑士$2008-02-03 01:44:29$0$勉强挤出点笑容，什么，还要老子哭，麻痹的，卧槽
122$1961963$长江七号$Arrhyth$2009-09-18 00:35:19$0$星爷俺想以前的你了 
123$1961963$长江七号$小狮子$2010-02-22 08:50:56$0$周星驰纯属友情出演，目的还是为了捧徐娇。
124$1961963$长江七号$私房歌$2011-09-14 17:13:21$0$可惜星爷最巅峰的时候我还不曾爱看电影。
125$1961963$长江七号$林小佐$2012-03-13 20:40:21$0$真一般
126$1961963$长江七号$客观的Jiming$2012-08-12 12:39:28$0$不怎么好笑的喜剧
127$1961963$长江七号$蛮吉$2008-03-07 23:53:05$0$中国香港
128$1961963$长江七号$不理不理佐卫门$2008-03-27 21:41:23$0$真没想到我会给星爷的电影打一星...
129$1961963$长江七号$洋葱圈$2010-02-17 03:36:12$0$很失望
130$1961963$长江七号$July$2009-01-01 21:34:03$0$无语了····
131$1961963$长江七号$耳朵在哪$2011-01-10 12:58:18$0$周星驰怎么老成这样~
132$1961963$长江七号$临暗$2009-12-16 15:18:52$0$真没看出来是个小丫头，现在穿女装看着反而不习惯了
133$1961963$长江七号$二藤润一$2008-09-03 08:38:46$0$没有想象中的难看...
134$1961963$长江七号$fotod$2008-04-06 15:42:18$0$费那么大劲，拍这么个东西出来，唉~bullshit
135$1961963$长江七号$corrinne$2008-02-01 17:49:26$0$我觉得挺好的。发自内心地笑，发自内心地哭~
136$1961963$长江七号$我不会死的$2011-12-12 22:22:12$0$6分
137$1961963$长江七号$itrek$2008-02-12 22:03:17$0$2008-02-12.
138$1961963$长江七号$拆$2008-02-29 21:14:28$0$我爱毛茸茸~
139$1961963$长江七号$马普尔老姐$2008-07-06 16:36:12$0$戏都在小孩子身上，长江七号的电脑制作也很勉强，总之，这不是部好的“周星驰电影”！
140$1961963$长江七号$无相$2010-01-07 21:23:36$0$女老师的形象超级不喜欢，再说也太肥了点吧。台词功力不够，跟赵薇一个毛病。
141$1961963$长江七号$belial$2012-08-11 20:35:35$0$泪点了
142$1961963$长江七号$kaqiman$2008-09-02 09:44:51$0$还行
143$1961963$长江七号$发条饺子$2008-02-20 12:26:17$0$徐娇、小七和蟑螂兄弟们的演技还不错了啦
144$1961963$长江七号$暴富的女孩是我$2017-03-13 12:28:19$3$七仔！
145$1961963$长江七号$加肥猫$2010-02-21 10:55:07$1$烂片，不说什么了
146$1961963$长江七号$圣徒$2008-08-03 16:26:34$0$一般啦
147$1961963$长江七号$懒散酱$2011-06-11 15:15:09$0$看在7仔可爱的份上给个还行~
148$1961963$长江七号$坨坨大王$2010-12-27 11:02:01$0$看了，看完了，标签上，没了
149$1961963$长江七号$Sophieven$2012-05-08 15:09:29$0$演员很不错，长江七号很萌，就是故事无趣。
150$1961963$长江七号$Zark$2008-07-03 23:49:55$0$不知道说什么好
151$1961963$长江七号$大佑$2009-01-04 10:06:26$0$笑料老掉牙了 新意也沒了 除卻周星馳還是周星馳
152$1961963$长江七号$dumber$2009-07-28 00:45:24$3$周星驰黔驴技穷。
153$1961963$长江七号$宅拾叁$2011-08-11 18:37:14$2$其实整片的亮点在于蟑螂。
154$1961963$长江七号$骑马的丁丁$2010-07-24 00:25:55$0$"上海 环艺
"
155$1961963$长江七号$冰山李$2008-02-01 19:56:46$2$7.1
156$1961963$长江七号$vii07$2010-03-09 16:10:15$0$消遣
157$1961963$长江七号$错乱天堂$2008-11-19 17:46:08$0$煽情煽过头了，让人恶心，星爷，对不住，我实在没法看完它~
158$1961963$长江七号$一计落甘$2008-04-12 12:45:42$0$星爷 还是想看你撒娇
159$1961963$长江七号$〰〰〰™↗$2019-04-01 22:58:12$4$童年回忆啊
160$1961963$长江七号$竹叶卷心$2017-02-14 23:50:25$3$挺好看的呀，当年真没看出来，徐娇是个女孩子。
161$1961963$长江七号$Zdring$2009-01-02 13:12:24$0$怎么看都不舒服。
162$1961963$长江七号$PAND4$2011-05-24 20:29:22$0$星爷，你老人家……最不想看到的就是你老了
163$1961963$长江七号$喜阿姨$2011-06-24 16:11:32$0$这种温情路线，额。。。般般子咯
164$1961963$长江七号$深层次空间$2011-03-15 22:28:30$0$周星驰这部电影估计是在讲他小时候。星爷可是从贫困中一步一步走出来的
165$1961963$长江七号$FUNNI$2009-07-02 10:28:23$0$美娇......
166$1961963$长江七号$语然小语$2011-11-17 19:51:42$0$想要做卓别林，就要大开大合。
167$1961963$长江七号$咁咁咁$2009-06-07 10:44:43$0$都不想说自己看过这个
168$1961963$长江七号$2ric$2008-02-10 20:54:40$0$"不好笑也不煽情
"
169$1961963$长江七号$keso$2008-02-22 09:28:28$2$可以一看。据说片中的小宠物正在热卖中。
170$1961963$长江七号$yukainju$2010-03-04 14:57:27$0$"星爷开始江郎才尽了~
居然开始复制过往自己的原作~
没有新意~"
171$1961963$长江七号$雲無憂$2008-04-12 07:19:29$0$丢，周星星煽情也TM有一套
172$1961963$长江七号$Utopia$2008-07-05 16:42:22$0$2008.5.16 娱乐不够，感动不足，要怎样？
173$1961963$长江七号$Anakin$2010-02-05 11:23:49$0$和张弛白宇，星美
174$1961963$长江七号$便便伪装黄金$2008-03-08 20:55:36$0$星爷啊,你果然没啥看头了.
175$1961963$长江七号$vampire$2008-05-15 18:07:54$0$"好奇怪的一部。。。
七仔的确很可爱啦
"
176$1961963$长江七号$韦恩斯坦_李$2008-05-04 00:28:47$0$星爷也开始玩感动了，但是不得不承认，星爷的片子一直都很有内涵！
177$1961963$长江七号$unundercooled$2009-01-26 09:58:58$0$演的不错
178$1961963$长江七号$十一$2017-02-11 23:51:41$3$一般般，虽然每次都哭
179$1961963$长江七号$Marcela$2011-04-04 23:23:42$0$火兰
180$1961963$长江七号$海棠一生$2008-02-14 15:44:51$0$此片适合10岁以下小朋友观看。。但情侣在情人节时一起看还挺轻松的。。星爷再也回不去了
181$1961963$长江七号$晨晨的五月天空$2009-02-09 19:03:13$0$温情不足 粗糙有余
182$1961963$长江七号$逗闷子$2009-04-10 21:17:37$0$"比起之前的电影，周星星有点退步了~
成熟了？改路线了？
不管怎样，我还是把影片完整的看完了~"
183$1961963$长江七号$catcher$2008-08-03 23:42:26$0$周星驰变得不好笑了
184$1961963$长江七号$hyskoa99$2011-03-01 18:02:11$0$很明显的感觉到本片的幼龄向
185$1961963$长江七号$=……=车梨$2009-08-08 17:24:33$0$7仔好可爱
