$movie_id$movie_title$comment_user$comment_time$comment_vote$comment_text
0$4873490$失恋33天$哈维尔$2011-11-03 23:55:55$2834$"  真正失恋要经过三个阶段：第一阶段当然丧尽自尊，痛不欲生，听到他的名字都会跳起来。第二阶段故作忘记，避而不提伤心事，可是内心隐隐作痛。到了最后阶段，他的名字与路人一样，不过是个名字，一点儿特别意义都没有。
                                   "
88$4873490$失恋33天$九尾黑猫$2011-11-23 21:24:11$11$看似情感浓郁，其实也没有给出什么对情感的解读或解答。爱情被怨恨和悲伤物化了，没人真往痛里挖，而是期待另一个白马王子的出现。这仍是一个灰姑娘的故事。这样的故事是饭后的谈资，而没法让人从中得到勇气和启发。相声也可以让人笑，报纸上的新闻也可以让人哭，但不是每个都能像好的电影渗透人心。
89$4873490$失恋33天$叶酱$2011-11-19 00:25:50$8$除了王小贱很有爱之外我真的没什么感觉呀~~印象比较深刻倒是那个老板说为什么找这样的女人，是因为省事。复杂的女人没人爱，对大多数男人来说是真理。
90$4873490$失恋33天$隐°Disappear$2011-11-08 22:12:41$14$看到黄小仙追车那段我哭了，巧的是，在这个镜头的时候我电话响了，铃声是《那就这样吧》，太应景了。触动太多，33天算什么呢，我都失恋1000多天了，还是潇潇洒洒生活过来了。
91$4873490$失恋33天$epsilon$2012-05-23 19:54:46$0$小说更不错
92$4873490$失恋33天$Aline$2011-11-06 23:10:40$3$看了小说，犀利的对白。。。很爽的说
93$4873490$失恋33天$悦小宝$2012-05-23 21:00:30$0$那天大家一起去看电影的感觉很好 我比想象中坚强很多
94$4873490$失恋33天$老晃$2011-11-06 20:30:36$2$劈啊……啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊
95$4873490$失恋33天$陌聆$2011-11-13 10:25:13$10$失恋是轻微的死。
96$4873490$失恋33天$馥芮白🃏$2012-06-18 13:48:28$0$在豆瓣怎敢说它坏话……我妈都说就那样     2021.9.5 看过
97$4873490$失恋33天$奎斯Chris$2011-11-10 22:28:18$20$最后那结局...导演你真的有必要暗示下王小贱不是gay吗？！大扣分！
98$4873490$失恋33天$.Bambi$2012-06-18 23:08:31$0$片子有点刻意和观众找共同感，没掩盖的住俗气的味道
99$4873490$失恋33天$库索$2011-11-12 18:56:49$2$Gay蜜片一枚，鉴定完毕。
100$4873490$失恋33天$鱼来$2012-05-23 02:46:00$0$我觉得我需要王小贱这样的男人
101$4873490$失恋33天$小白乐个不停$2012-05-22 19:43:21$2$我还记得去年他和我分手的时候 借用了一句这个电影里的台词 说 分手不一定是一件坏事 或许是一次重生。
102$4873490$失恋33天$Miche77e$2012-05-23 00:48:48$0$真是个好片子！
103$4873490$失恋33天$北城以北$2012-05-22 23:06:40$0$毕竟，这，只是电影
104$4873490$失恋33天$木子$2012-05-23 12:25:41$0$里面的语言挺幽默的，但是我怎么不觉着现实生活中，男女主角这样的人物性格会配呢？
105$4873490$失恋33天$烦什么翻妮$2012-05-23 13:46:09$0$王小贱这样的人哪里找。
106$4873490$失恋33天$艷✿$2012-05-23 13:56:26$0$看過這本小說，電影的有些台詞還不錯。沒有真正的好看，估計是因為期待太大，單身節那天去看，連小學生也在看...
107$4873490$失恋33天$莫可$2012-05-23 12:11:45$0$男闺蜜啊
108$4873490$失恋33天$岁月如水$2012-05-23 15:11:40$0$还不错
