$movie_id$movie_title$comment_user$comment_time$comment_vote$comment_text
58$20435622$环太平洋：雷霆再起$SELVEN$2018-03-23 22:06:53$20$50/100 如果你抱着看一部爆米花大片以外的期待买票那真的就是你自己的问题了，但是即便是带着正确的心态入场，“环2”还是会令你失望。这部电影里没有你从未见过的特效场面，也没有让你感到激动的故事。
59$20435622$环太平洋：雷霆再起$雨前羽街$2018-03-23 21:14:37$14$在整体的中二气氛烘托下连景甜也变得好好看呢！不多说了我要去打猎啦
60$20435622$环太平洋：雷霆再起$吃货F$2018-03-23 09:56:31$241$三星半，真的很喜欢大荧幕上看机甲打怪兽。这部不能和陀螺的1相提并论，纯粹娱乐来讲还是不错的，简化人物关系和剧情内涵，仅突出了机甲战斗，和其他强续命的ip（独立日）一样求生欲很强，但也没丢掉便当习俗，略欣慰。彩蛋有独立日2的影子，flag呀。我还挺喜欢波耶加且更爱甜甜，甜甜，比心心
61$20435622$环太平洋：雷霆再起$会做梦的猫$2018-03-23 02:14:34$243$披着科技元素和3D伪装的特摄片，本质上依旧是奥特曼打怪兽，不过，爽快就行了，这种片子除了视觉效果和激烈打斗之外其他并不重要，看完觉得票价不亏，全程无尿点，当然科技宅可能不满意。PS：景大小姐这次发挥真的没败人品。再PS：这片子国内票房铁定超过美帝本土。
62$20435622$环太平洋：雷霆再起$恶魔的步调$2018-03-23 22:59:20$13$三傻闹东京，然后来了拆迁队，接着三傻合体了……虽然不是strait jacket的概念，但无人机暴走真是分分秒EVA；最后拆东京还暗示了第三东京地下城的存在！？一口一个Ranger，太穿越了，虽然也有很强烈的青少年科幻倾向，但比Power Rangers要成年一点；最后的拆东京就像是某些变形金刚哥斯拉元素的重组。
63$20435622$环太平洋：雷霆再起$隔壁家的桃太太$2018-03-23 17:05:24$27$那细腰的机甲，头上长个角不就是那谁了吗！那明艳的橘红色，不就是那谁吗！那插入栓如果做成细圆柱体，不就是那什么了吗！我看到东京地下逃生电梯的配色＋“怪兽来袭”的字时，都要哭了
64$20435622$环太平洋：雷霆再起$刮刮油$2018-03-25 12:31:07$8$萝莉拯救世界是必须的了，大甜甜存在度提高不少，中国基地，中国将军，中国军火商……三星可以有，IMAX加一星。孩子说好喜欢军刀，掏钱……
65$20435622$环太平洋：雷霆再起$三狗大将军$2018-03-23 05:34:08$22$我期待了两三年你给我看黑人小哥的rap，青春期孩子的打架，京东挂在上海的广告，各国人的刻板印象，怪兽爬山，机甲坠落，以及景田小姐的脸色？？？
66$20435622$环太平洋：雷霆再起$美神经$2018-04-19 16:59:39$6$剧情一般吧 特效还好，惊奇发现还有景甜。
67$20435622$环太平洋：雷霆再起$青占$2018-03-23 22:09:38$13$其实吧，大家看电影不要这么挑剔，我觉得光凭特效就已经值回票价了。
