$movie_id$movie_title$comment_user$comment_time$comment_vote$comment_text
0$25824686$变形金刚5：最后的骑士$杰尼杰尼$2017-06-20 08:26:37$4481$从初中拍到我工作，一堆废铜烂铁炸了十年。
61$25824686$变形金刚5：最后的骑士$徐若风$2017-06-28 19:21:17$16$暑假第一天，陪父母，20分钟起就开始刷豆瓣等离场....上半年院线观影最差吧，没一场戏能看，都是满屏幕飞过蠢哭两个字....
62$25824686$变形金刚5：最后的骑士$焚紙樓$2017-06-22 21:53:58$33$看來即便是派拉蒙的第一才子，也無從同時駕馭11個編劇......
63$25824686$变形金刚5：最后的骑士$寒狐传媒$2017-07-11 07:47:13$3$偷偷告诉你，诸葛亮是个魔法师，造的其实是铁牛流马，另外偶是个幼幼控。
64$25824686$变形金刚5：最后的骑士$甘蔗汁两元一杯$2017-06-24 00:45:21$19$亚瑟王看了想自杀
65$25824686$变形金刚5：最后的骑士$搬砖侠$2017-06-23 23:53:47$25$这大概就是好莱坞工业流水线作业下的商业大片的反面案例，长达两个半小时的视觉狂轰乱炸，可惜特效严重失控，就好像一个土大款戴着大金链子极力想要证明自己可以闪瞎全球观众的氪金狗眼，所以分分钟都在燃烧经费，拍得又臭又长，除了造成的视觉疲劳加倍之外，影片基本属于看完之后完全不记得讲啥的电影
66$25824686$变形金刚5：最后的骑士$文泽尔$2017-06-26 13:34:14$16$看到我都快不记得儿时动画里的擎天柱和大黄蜂长什么样了 要不变6彻底重启改回2d动画吧
67$25824686$变形金刚5：最后的骑士$维柯丁$2017-06-24 02:05:09$51$我能退票嘛啊啊啊啊！特么的怎么能烂成这样我去啊！give my money back！简直心疼制作经费……
68$25824686$变形金刚5：最后的骑士$刮刮油$2017-06-24 12:40:33$45$真的，我一柱哥蜂地铁粉，咬牙不能给更高了。硬拗的梗，强拉的历史故事。在一个地方一群人逼逼逼，然后军队追过来打打打端掉；再换一个地方一群人逼逼逼，军队再追过来打打打端掉，跳跃的换七八个地方，打到后来都不知道在哪打和谁打谁。我是很享受特效的简单观影人，好看标准不高，但这片会把人看疲。
69$25824686$变形金刚5：最后的骑士$舌在足矣$2017-06-22 16:16:38$36$我完全同意村之声的那篇影评
70$25824686$变形金刚5：最后的骑士$风间隼$2017-06-23 22:33:35$15$这烂剧情，是《独立日》加《高地人》么？跟我熟悉的变形金刚没有半毛钱关系。带豆包看的，睡过去N次，我觉得这是心脏屏蔽噪音的自发反应。珍爱绳命，远离卖拷贝。
71$25824686$变形金刚5：最后的骑士$图钉$2017-06-23 01:18:16$45$看剧情？你真是太天真了，一星给视效。
72$25824686$变形金刚5：最后的骑士$猫一$2017-06-25 02:58:10$8$基本上可以说，作为一个电影，它真的不太好，前半段看到一个徐徐展开的宇宙，后半段乱七八糟一阵乱打结束。编剧的野心和宇宙的展开给四星半，整体故事给一星半。但是当我看到擎天柱和大黄蜂我就失去了理智，评分系统坏掉了，我就喜欢他们怎么样啊！爱看大机器人库库库库变形！！
73$25824686$变形金刚5：最后的骑士$雅典娜$2017-06-25 21:00:32$11$最大的感想是如果把马克沃尔伯格带回家，估计的确能让七大姑八大姨满意。至于其他，这片子里有TF吗？我只看到了一坨一坨的shit，诶他们给这些shit起了好多名字哎～诶这些shit怎么满天飞了哎～ 难得一部散场之后所有观众都在骂街的片子，大家都吃到了shit啊
74$25824686$变形金刚5：最后的骑士$yihan1010$2017-06-24 00:13:06$12$强烈建议将此片纳入电影学院教材，让所有立志成为商业类型片导演的学生，学习如何成功将一系列优秀类型片元素（毫无尿点的紧凑快节奏叙事、嗑药癫狂般的人物、狂轰乱炸的尬聊嘴炮、让人窒息的快速剪辑、临场感爆棚的手持摄影）堆砌滥用到极致，并最终炮制出一锅毫无生气且散发出恶臭的馊水的方法。★☆
75$25824686$变形金刚5：最后的骑士$小宝君$2017-07-01 23:30:08$33$完全不懂那个14岁美国景甜的作用是啥
76$25824686$变形金刚5：最后的骑士$猪大腿$2017-06-21 13:22:30$29$本来“有变形金刚上映的年份詹姆斯全部输掉总冠军”这件事就几乎足以把前几部的星星补回来，结果女二little JLo是个詹密这件事又把分扣回去了。
77$25824686$变形金刚5：最后的骑士$荔枝超人$2017-06-28 21:22:27$4$呸
78$25824686$变形金刚5：最后的骑士$女神的秋裤$2017-06-21 02:20:27$15$没网评那么差，在系列中比变4好很多，和变3差不多。上校和第七区西蒙斯（最满意的角色，还是那副吊样）回归，还是找回了系列的味道。双机IMAX3D也没看出啥特别，还是得信诺兰，3D就是噱头。镜头没静止过，剪辑又快，累眼睛，故事啰嗦没主心骨。擎天柱一句话洗白梗跟上蝙超了，看来观众消费完了爆炸贝
