$movie_id$movie_title$comment_user$comment_time$comment_vote$comment_text
74$1578714$神奇女侠$苏案$2017-06-02 17:08:22$146$不就是包装高大上点的抗日神片，这回是盟军有高达，还是女高达。故事背景放到一战实在不讨巧，战争不是一个非黑即白的论题，女主的超能让战争的残酷消解了很多甚至显得滑稽，神话的设定又让本片一直神神叨叨，dc要是敢把阿瑞斯设定成希特勒倒还有点看头。年代的拖累又使得画面不如漫威的高科技炫目。
75$1578714$神奇女侠$嘟嘟熊之父$2017-06-02 22:59:20$23$什么相不相信爱的，就这点儿造化还配当神。
76$1578714$神奇女侠$Wadjda$2017-06-03 17:05:18$25$3.5 DC系观感最好的一部，美术设计佳，开场简直重温当年第一次看到瑞文戴尔时的惊喜，讲述神话、沙滩战斗，甚至只是残垣废墟夜晚的小酒馆外的雪中之舞都油画一样美；没料到的是结尾那么虐，纵使真正字面意义的女神，都得面对不能与爱的人在一起的伤怀；彻底为男生拍的片却好些男生不喜欢始料未及呀
77$1578714$神奇女侠$ღ 狐不悔，$2017-06-04 16:29:12$41$我来拯救今天，你去拯救世界。多希望我们还有时间，我爱你。
78$1578714$神奇女侠$boks$2017-06-02 16:48:37$59$一战版的女超人手撕德国鬼子，高潮兄妹PK时刻眯了半分钟，比《蝙蝠客自不量力瞎怼超人》的全程昏厥好多了
79$1578714$神奇女侠$小岩井$2017-06-14 21:15:49$27$虽然说不上难看，但总觉得节奏很怪，看这个电影的过程觉得时间特别的久。。。
80$1578714$神奇女侠$沈入忘🌟$2017-06-04 23:45:37$67$睡着好几次……女主太中二了……剧情太无聊了……
81$1578714$神奇女侠$Bless_U$2017-06-16 16:46:25$57$经典套路的美国英雄，有点审美疲劳。女主很美，男主很帅，感觉就是纯荷尔蒙产生的感情。 前期格局太大，后期有点局促浮夸。主题思想还是不错的，讲了所谓坏人并不是具体一个人，而是人性的缺点，世界大战并不会因为所谓的一两个英雄而消失。
82$1578714$神奇女侠$玑衡$2017-06-12 13:31:06$38$剧情狗血，情节俗套。真的并不到最近几年superhero片的中游水平。
83$1578714$神奇女侠$熊阿姨$2017-11-17 20:14:51$13$演一个多小时了还没进正题，每次要关了女主就一个下弓步，为了这身材再看会儿再看会儿……
84$1578714$神奇女侠$张天翼$2017-07-09 18:30:23$20$加朵是好看，但各种胡来的剧情和镜头也真是真是真是不能忍了，看得各种煎熬。小薛说：如果最后没有阿瑞斯出场、就把它变成一个寓言就好了。
85$1578714$神奇女侠$齊克斯尼力佐飛$2017-06-03 12:18:10$22$“我想当演员，我爱演戏，但是我生错了肤色。每个人都有自己的战争，就像你也有自己的战争一样。”其实是一部呼吁所有观众反歧视的平权片，就跟想毁灭世界的坏人有男的也有女的，英雌也能跟英雄一样拯救世界。
86$1578714$神奇女侠$刮刮油$2017-06-04 12:30:08$77$作为一个女性英雄的开篇，算是没什么可挑剔的了。派恩和加朵的颜和型是加分的，互动也甜。加朵把刚出道的黛安娜的可爱也演绎的很到位。黛安娜穿着神战衣从战壕里上来迎面走向战火的那刻，我想给她跪下。
87$1578714$神奇女侠$Rebel Scum$2017-05-31 22:06:26$19$I should have known. C r i t i c s.
88$1578714$神奇女侠$小地瓜想养一只$2017-06-01 19:40:58$84$老毛病一个不落～
