$movie_id$movie_title$comment_user$comment_time$comment_vote$comment_text
0$2131940$魔兽$隐$2016-06-07 01:00:31$3030$请接着往下拍！
52$2131940$魔兽$晓易$2016-06-08 13:04:54$54$看完预告片就知道这电影好不到哪去，结果浪费钱跟时间去电影院一看果然如此。
53$2131940$魔兽$沫沫不是陌陌$2016-06-08 06:53:26$58$根本看不够！谢谢魔兽给了我们一个世界，现在不仅陪伴了我们青春还将要陪着我们一辈子！
54$2131940$魔兽$ZI MENGDE$2016-06-08 11:03:53$104$对于一个60年代的老玩家 这部电影真垃圾 
55$2131940$魔兽$有心打扰$2016-06-08 02:41:35$94$坐在旁边的女生，全程在找吴彦祖在哪儿！（估计她不是一个人在奋斗！）2333~
56$2131940$魔兽$benson$2016-06-08 07:44:08$49$是时候让小时代的粉丝们知道什么才叫脑残粉了
57$2131940$魔兽$Meryn$2016-06-08 12:06:31$88$传奇电影公司完全没有深入理解暴雪公司对游戏的刻画，整个电影人物稀少，剧情简单枯燥，完全没有描绘出魔兽本来丰富的背景，人物设定，剧情脉络，希望暴雪将来能自己出来拍自己的作品。
58$2131940$魔兽$摄氏零度$2016-06-04 09:06:01$50$兄弟义、团队情、公会荣誉，这就是信仰的荣光。我们狂欢的不是游戏，不是电影，而是我们再也回不去的那段青春岁月。
59$2131940$魔兽$snowflake$2016-05-25 03:29:04$104$魔兽真爱粉，等了好多年才盼来的电影。情怀，剧情，制作都是必看这部电影的原因。视觉效果好是意料之中的，一开始节奏有点慢，展开后故事也挺吸引人，有瑕疵，开放式结尾是给续集准备的？
60$2131940$魔兽$誓死保卫大盲$2016-06-07 21:14:15$48$必须五星，没啥好说的！只因对暴雪的信任，只因暴雪这么多年的良心！
61$2131940$魔兽$CMGS$2016-06-08 11:18:59$31$为了部落！全场都是部落猪，腾讯出来大家都在嘘，粑粑出来大家都在欢呼。讲道理，不是粉丝要脑补的太多了，隔壁基友一直跟女朋友讲这讲那，德拉诺七雄都没怎么表现啊……
62$2131940$魔兽$张腾森$2016-06-08 14:49:21$48$爱情戏来得莫名其妙，麦迪文双重人格，小鲜肉法师开挂太无语，看点只有特效，粉丝刷分太疯狂
63$2131940$魔兽$影志$2016-06-08 23:24:36$66$“如果你想收获爱情，就得经历折磨，直到遇到真心的另一半。” 并非沦为彻头彻尾的动作打斗戏，人物线及心理关系较复杂，有血有肉有情有义，这一点邓肯·琼斯没有放弃自己的坚持。但是故事线被绕了进去，中间一度看得犯困。对于一部游戏改编，拍的大气磅礴，浅显通俗，倒也不功不过。
64$2131940$魔兽$Calaquendi$2016-06-08 12:32:15$75$难得没拍片偷空看了《魔兽》，真是不好意思告诉别人我玩了十年这玩意…不要提情怀，魔兽玩家的情怀都被这烂片侮辱了。有零分选项么？一星都嫌多。
65$2131940$魔兽$喵尔摩丝$2016-06-08 14:19:52$32$任务不明版魔戒，画风和谐版权游，可以说非游戏迷的我get不到情怀分，但是从情节编排到镜头调度，真的不好看……还有所谓史诗题材、宏大世界观，都哪儿听来的词啊，别乱用
66$2131940$魔兽$EVA_征服天堂$2016-06-08 17:39:48$26$期待越大，失望也就越大！好一场雷声大雨点小！它仿佛在告诉你：你已经玩过游戏知道背景故事了，看就可以了。剧情很赶，节奏脱轨。有几个不合情理的转变糊弄玄虚也！最重要的是大格局背景却是小场面效果！这还玩个卵啊？！PS：1.女兽人对法师说：你想和我睡觉。。。2.钱都花在CG上了！演员一股山寨味！
67$2131940$魔兽$拉夫德鲁的厨子$2016-06-08 09:08:46$40$暴雪的LOGO，全场开始鼓掌。第一个镜头，最经典的footman和大G单挑，导演避重就轻只描写兽人和人族之间的恩怨，燃烧军团部分是要在续集里完成了，因为移民政治因素删掉了40分钟，心塞。最后，八成部落猪看着联盟主角脸的完场，却依然为了艾泽拉斯大陆！尽管没有好的文字载体，但纯影视作品不输魔戒。
68$2131940$魔兽$Maximilian$2016-06-08 12:57:42$32$情怀被消费了，剪辑的太烂了
69$2131940$魔兽$纠结咪$2016-06-04 06:24:02$67$男票说是男人的情怀...我看不懂。
70$2131940$魔兽$梦里诗书$2016-06-07 11:12:04$60$如果单从电影的视角来看《魔兽》，剧情的羸弱使其很难成为一部能比肩《指环王》般堪为传奇的佳作，但当《魔兽世界》本身的情感附加成为了手握的王牌，契合极为出色的视觉特效，一个触“目”可及的艾泽拉斯，是足以为人追忆的情怀所在。
