$movie_id$movie_title$comment_user$comment_time$comment_vote$comment_text
582$24879858$分手大师$仲四爷$2017-02-16 09:59:31$3$自导自演，邓超，还不错的！其中，成功大师的表演也是可圈可点！
583$24879858$分手大师$萌 . 李$2017-10-11 07:15:46$0$尴尬…………我得看个鬼片压压惊。为了娜扎看的，以为她是女主…………
584$24879858$分手大师$Four-$2016-08-02 12:00:42$4$很好看阿 这部电影让我看到了杨幂不一样的一面 听说她为了这部戏也很拼吧 怀着孩子依旧摔摔打打的 超哥也很搞笑 
585$24879858$分手大师$夏静寒$2018-09-03 12:49:24$1$"我记得当时感受应该不太好吧
现在看来好恶俗"
586$24879858$分手大师$筱晗$2014-09-20 19:22:58$0$演技太浮夸了，看不下去。但邓超估计过戏瘾了。
587$24879858$分手大师$廖小尘$2014-06-30 20:50:57$2$真心觉得豆瓣的分给低了，想想这几年国产爱情片，从《致青春》到《同桌的你》，从《失恋三十三天》到《等风来》，《分手大师》拍的不错啊！要笑点有笑点，要泪点有泪点，剧情到底哪里不流畅了……
588$24879858$分手大师$中森明菜$2018-09-22 00:34:14$1$高三看的 我jio得好笑 就要打四星 略略略
589$24879858$分手大师$可爱有点多$2018-10-13 21:11:15$1$邓超求你别再演女人了，压根不好笑…
590$24879858$分手大师$金毛$2018-11-24 16:09:12$1$不错，后来才看的
591$24879858$分手大师$HOON$2018-10-21 12:15:21$1$哈哈哈，笑完忘了讲的什么了
592$24879858$分手大师$k乐$2018-11-07 19:16:25$1$我想说笑点还是可以的…
593$24879858$分手大师$豪豪豪豪豪豪儿$2018-10-25 20:25:02$1$记得电影的最后有点小惊喜？
594$24879858$分手大师$已是曾经$2016-12-30 20:56:18$2$觉得挺有意思的！好搞笑啊！
595$24879858$分手大师$[已注销]$2014-07-27 22:05:54$2$片尾小浪漫有点欧洲文艺片的小味道。
596$24879858$分手大师$小老虎沙冰$2018-08-31 12:28:09$2$啊...我怎么觉得还蛮好看的
597$24879858$分手大师$蒲公英$2018-07-29 18:31:12$1$影院
598$24879858$分手大师$Aphasiamnesia$2014-07-03 12:42:59$1$这种没内涵的剧竟然豆瓣分数有那么高都是刷分的吗
599$24879858$分手大师$🍟$2018-08-10 15:30:02$1$我觉得杨幂在这里面演的还行呀😶至少没有让观众为她尴尬😅
