$movie_id$movie_title$comment_user$comment_time$comment_vote$comment_text
113$24879858$分手大师$后天的雨$2016-11-10 21:23:07$14$邓超真的别执着地演这种喜剧啦，尤其是俞白眉导演的。全片烂俗的梗，不走心的表演，质量糟糕
114$24879858$分手大师$吴邪无忧$2016-06-29 15:27:25$13$烂片
115$24879858$分手大师$假 寐 🇨🇳$2014-06-22 23:40:51$10$提前看了点映还参加了南昌影迷见面会见到了真人邓超。片子很搞笑也很难看。感觉就是为了笑而笑，可以预料得到的是，27日那天的票房肯定很惨淡。这种没有好剧情支撑的搞笑片怎么斗得过变形金刚4。不过为了咱南昌的邓超我就提前贡献下这个票房吧，还花了我平时两倍的价钱。
116$24879858$分手大师$metoo_0825$2018-05-16 22:19:09$9$超哥适合做演员不适合当导演，因为一个故事也没讲明白，只是无厘头的搞笑，找噱头，笑点也是够尬的。
117$24879858$分手大师$阿咪老师Ami$2014-06-26 23:42:34$41$看这部片子笑不笑可以检验出这个人跟你三观是否相同。
118$24879858$分手大师$Indecent time$2014-07-10 00:02:51$6$孙俪出场时间和不二神探中的马伊俐出场时间一模一样的，而这部电影也和不二神探一样烂，恭喜邓超往文章的道路又走近了一部（2014的富春在哪里？）古丽娜扎真漂亮
119$24879858$分手大师$幕天席地$2017-03-05 11:05:02$11$贱的不可收拾
120$24879858$分手大师$沉静的心$2014-06-26 21:50:30$22$说实话尽管我在观影过程中也笑了好几次，但我还是不太喜欢所谓的邓氏幽默的，这部电影还是比较适合女生们观看，适合她们的笑点。不过还是要支持一下邓超的，首秀很尽心，谈不上多么圆满和优秀，但良好还可以吧。
121$24879858$分手大师$LePetitPrince$2014-06-27 12:57:48$9$"这次我认同陆天明，垃圾片子恶心人
"
122$24879858$分手大师$月涩$2017-04-10 18:32:40$12$随便笑笑就好。
123$24879858$分手大师$Midnight$2014-06-27 10:33:32$6$敢跟变4抢档期，有魄力
124$24879858$分手大师$君宝同学$2014-06-27 12:08:26$10$混乱，疯狂，用力过猛。当全场都笑的时候，我只觉得尴尬。这是一部刚看完3星，两小时过后回过味只剩1星的片子。周星驰后国产无厘头已死，有事烧纸。为邓导的微博加颗星。
125$24879858$分手大师$Reese$2014-05-31 13:59:52$6$不得了，好臭！
126$24879858$分手大师$向生$2018-03-30 14:21:47$10$导演的邓超奇烂无比。演员的邓超光彩熠熠。杨幂的炸捐0分。
127$24879858$分手大师$Enjoy_時光機。$2014-06-27 07:59:28$12$终于见到比我还要浮夸的演技了。
128$24879858$分手大师$蜉蝣$2014-11-11 23:33:13$9$邓超的表演堪称最恶心三个字，或者根本就不是表演，只不过是戏耍和庸俗卖弄。低智商攒成的剧情。即使是看烂片，都很久没像看这片子一样骂过声傻逼了。
129$24879858$分手大师$茜纱窗下$2018-04-10 13:35:52$9$邓超可以不演喜剧吗？
130$24879858$分手大师$有心打扰$2014-06-27 00:18:07$5$搞笑但绝对称不上好看，搞笑片段合集，给人感觉就是全屏的花絮。邓超全片下来就一个招数，看到后面实在腌了…
131$24879858$分手大师$凉夏有雨$2014-06-26 21:01:30$9$我不想说我竟然和同事去看了，如此毁三观秀下限，看来还是应该相信自己对电影的直感不该报以侥幸心理觉得对邓超一向印象不错=_=
132$24879858$分手大师$暖暖的阳光$2017-04-10 21:14:07$9$邓超还是回去演戏好了，演戏还是不错的
133$24879858$分手大师$梦梦$2014-06-23 00:11:48$12$审丑大师，低俗喜剧
134$24879858$分手大师$晨小兮$2017-03-18 12:19:15$7$看了，十多分钟，果断弃剧。😂
135$24879858$分手大师$leung$2014-06-22 02:08:58$7$校园推广兼邓超见面会，跟着组织去蹭的。满场都是脑残粉。电影没什么逻辑，总之看完了现在浑身难受。
136$24879858$分手大师$Bigteeth$2014-09-29 23:14:32$4$狗屎
137$24879858$分手大师$膠片時代$2014-10-03 17:05:09$6$恶心
138$24879858$分手大师$璐baby$2017-02-18 22:04:49$7$其实我很不喜欢邓超的喜剧风格，吵吵闹闹的很讨厌，剧情也蛮乱的，东一腿西一脚，拼凑痕迹明显
139$24879858$分手大师$细雨蒙蒙$2018-05-18 08:10:02$8$电影冲着邓超去的，除了他毫无看点，剧情不在线，其他人演技也平平。
140$24879858$分手大师$朱明明是熊猫$2014-06-21 06:55:31$12$看完预告，也看完了整部片子。呵呵，换成别人演给两星，杨幂，呵呵。
141$24879858$分手大师$JK0$2014-09-04 11:34:11$8$尼玛年度最烂，我是怎么看完的？！
142$24879858$分手大师$三月流之舞$2014-06-09 14:42:49$9$杨幂最好的片了
143$24879858$分手大师$炫3D$2017-03-19 18:36:49$8$一部不好不坏的搞笑篇、邓超这几年拍了很多类似的。
144$24879858$分手大师$甜椒Oli$2017-04-12 23:19:46$11$为了搞笑而搞笑 邓超的剧就是从这个开始变得看不下去的
145$24879858$分手大师$待城$2017-03-04 22:25:57$8$都没大看懂这个电影 乱七八糟的 没意义
146$24879858$分手大师$心无所著$2014-07-19 00:57:06$7$邓超同学审美堪忧
