,movie_id,movie_vote,movie_ex_score,movie_shortcom_num,movie_nlp_var,movie_vote_var
254,30269016,7.3,0.05795606219864583,159813,0.06538153774830728,0.02825416
255,30282387,6.2,0.07678654559102323,124163,0.09228108198877905,0.014808399999999996
256,30290562,9.2,0.063532208570226,50,0.06255172071278249,0.06745416000000001
257,30290841,8.7,0.04882024788748756,78,0.050704009859359446,0.0412852
258,30291567,9.1,0.049395634023784406,75,0.04489854252973051,0.06738399999999999
259,30292834,9.0,0.06904029823572191,37,0.0725400727946524,0.0550412
260,30295905,6.6,0.10431076187868034,239,0.12462495234835042,0.023054
261,30306570,5.9,0.0950294717848223,203009,0.11191663973102786,0.0274808
262,30307233,9.2,0.06994456000878721,82,0.06758640001098401,0.0793772
263,30331149,7.8,0.05097060436916454,240145,0.05689285546145567,0.027281599999999996
