,movie_id,movie_name,movie_vote,movie_voter,movie_5star,movie_4star,movie_3star,movie_2star,movie_1star,movie_shortcom_num
168,26268508,贵妃醉酒,9.2,906,75.5%,16.2%,5.2%,1.0%,2.2%,263
169,26270502,绣春刀II：修罗战场,7.2,406112,11.1%,44.8%,38.0%,5.2%,0.9%,129066
170,26277313,西游记之大圣归来,8.3,673451,37.9%,42.5%,16.7%,2.0%,0.8%,213865
171,26280528,从你的全世界路过,5.3,336759,6.4%,14.0%,35.9%,27.9%,15.8%,109874
172,26289144,滚蛋吧！肿瘤君,7.4,422563,17.1%,43.2%,33.9%,4.7%,1.0%,112485
173,26290365,恶棍天使,4.4,172912,4.9%,6.9%,24.8%,30.1%,33.3%,55927
174,26303567,智收姜维,9.1,113,73.5%,15.7%,6.0%,0.0%,4.8%,25
175,26311973,唐人街探案,7.7,827557,20.7%,49.6%,25.6%,3.1%,1.0%,196854
176,26313973,我是证人,6.3,190454,11.2%,21.7%,45.9%,15.0%,6.2%,55897
177,26322792,北京遇上西雅图之不二情书,6.4,249330,9.3%,24.3%,46.5%,16.1%,3.7%,259
178,26331830,中美舞林冠军对抗赛2015,8.7,222,49.7%,39.6%,6.3%,3.8%,0.6%,54
179,26336252,碟中谍6：全面瓦解 Mission: Impossible - Fallout,8.1,493701,27.4%,50.9%,19.9%,1.6%,0.3%,135530
180,26363254,战狼2,7.1,892043,22.5%,32.4%,29.9%,9.3%,5.9%,305972
181,26366496,邪不压正,7.0,689231,14.3%,36.7%,38.3%,8.4%,2.3%,205114
182,26383524,锁麟囊(京剧),9.5,2352,79.9%,16.5%,2.5%,0.4%,0.6%,1009
183,26386736,阿狸·妈妈,8.8,117,60.0%,26.7%,11.1%,0.0%,2.2%,27
184,26387698,女出租车司机,9.0,544,65.0%,25.5%,6.7%,1.2%,1.6%,157
185,26394152,大黄蜂 Bumblebee,7.0,372577,10.7%,36.8%,43.5%,8.0%,1.1%,108788
186,26421039,穆桂英挂帅(京剧),8.8,672,52.5%,36.0%,11.5%,0.0%,0.0%,222
187,26425063,无双 無雙,8.0,912682,25.3%,52.3%,20.2%,1.9%,0.3%,252129
188,26425068,追龙 追龍,7.2,345275,11.7%,43.4%,38.7%,5.4%,0.9%,86063
189,26426194,巨齿鲨 The Meg,5.7,210674,2.7%,13.3%,54.5%,24.6%,4.9%,62676
190,26575103,捉妖记2,4.9,354945,2.4%,7.6%,37.6%,37.8%,14.6%,110714
191,26580012,杨门女将,9.1,232,70.9%,20.6%,5.3%,0.0%,3.2%,65
192,26606743,嫌疑人X的献身,6.3,292036,5.4%,23.7%,54.5%,13.9%,2.4%,97765
193,26647117,暴裂无声,8.2,482739,31.2%,50.7%,16.1%,1.7%,0.3%,128943
194,26654146,解忧杂货店,5.0,191905,4.4%,10.0%,34.0%,33.4%,18.3%,62524
195,26662193,前任3：再见前任,5.6,385670,6.1%,16.3%,39.6%,24.9%,13.0%,133826
196,26671361,喜丧,8.8,27012,50.9%,38.7%,9.4%,0.8%,0.2%,10955
197,26672579,棱角杯 قىرلىق ئىستاكان,9.4,673,78.5%,15.2%,4.5%,0.4%,1.4%,156
198,26683723,后来的我们,5.9,361934,7.2%,19.8%,42.9%,21.7%,8.4%,134022
199,26694491,大红灯笼高高挂 The Bright Red Lanterns Hung High,8.8,3896,49.2%,43.0%,7.1%,0.4%,0.2%,253
200,26698897,唐人街探案2,6.6,889068,8.4%,31.5%,44.8%,11.7%,3.5%,248287
201,26709258,罗小黑战记,8.0,514477,32.2%,42.2%,21.7%,3.3%,0.6%,180298
202,26715636,地久天长,8.0,357527,28.1%,46.5%,21.6%,3.1%,0.7%,124160
203,26728669,风中有朵雨做的云,7.2,398286,13.3%,42.4%,36.7%,6.3%,1.4%,139646
204,26752088,我不是药神,9.0,2063670,58.7%,33.7%,6.9%,0.5%,0.2%,533381
205,26754233,八佰,7.5,803527,18.7%,45.4%,30.0%,4.3%,1.6%,252650
206,26790961,闪光少女,7.2,288896,15.6%,41.4%,34.4%,6.9%,1.8%,103097
207,26794435,哪吒之魔童降世,8.4,1792843,42.4%,39.1%,15.6%,2.2%,0.8%,614935
208,26803826,坐在人生边上——杨绛,9.0,1106,59.1%,32.3%,7.3%,0.4%,0.8%,315
209,26811587,大护法,7.8,355380,24.9%,45.9%,24.2%,3.8%,1.1%,123761
210,26816076,“大”人物,6.4,219520,5.7%,26.1%,53.4%,12.5%,2.3%,57599
211,26816383,喜欢你,6.7,318826,8.9%,32.4%,45.7%,10.8%,2.1%,108965
212,26826330,刺杀小说家,6.5,639450,6.7%,31.9%,45.1%,13.2%,3.1%,266487
213,26830080,极限公益联欢会,9.2,5915,72.8%,18.7%,6.5%,1.0%,1.0%,1016
214,26837989,降魔成道,9.0,170,64.6%,24.4%,7.1%,3.1%,0.8%,47
215,26861685,红海行动,8.2,1017740,37.7%,41.4%,17.3%,2.5%,1.0%,283973
216,26862259,乘风破浪,6.8,577545,12.3%,33.1%,40.7%,10.3%,3.5%,174784
217,26862829,芳华,7.7,787499,21.8%,45.5%,27.8%,4.0%,1.0%,237284
218,26885074,叶问4：完结篇 葉問4：完結篇,6.8,287578,9.4%,33.4%,45.6%,9.8%,1.7%,80468
219,26920265,绝境求生 A Harsh Transition,8.8,828,47.9%,43.7%,7.0%,1.4%,0.0%,297
220,26925317,动物世界,7.2,543643,11.4%,44.0%,37.3%,5.8%,1.5%,182507
221,26926321,缝纫机乐队,6.6,358736,11.5%,27.1%,43.5%,13.9%,4.0%,106589
222,26928839,挥师三江,8.8,140,55.0%,30.0%,13.0%,2.0%,0.0%,52
223,26946612,狐妖小红娘剧场版：王权富贵,9.3,14037,70.7%,23.3%,4.8%,0.5%,0.7%,3281
224,26972258,江湖儿女,7.6,288452,17.0%,50.0%,29.0%,3.4%,0.6%,91542
225,26972694,狐妖小红娘剧场版：月红篇,9.3,14223,71.6%,22.9%,4.4%,0.5%,0.7%,2987
226,26985127,一出好戏,7.1,882149,12.4%,40.6%,37.8%,7.3%,1.9%,246633
227,27038183,羞羞的铁拳,6.8,700475,11.0%,33.2%,43.3%,10.0%,2.5%,198873
228,27059170,王菲：幻乐一场,8.9,4877,59.9%,26.4%,11.2%,1.4%,1.2%,1573
229,27060077,绿皮书 Green Book,8.9,1617241,54.9%,37.5%,7.1%,0.4%,0.1%,390550
230,27062669,人生AB剧,8.7,82,57.6%,25.4%,15.3%,0.0%,1.7%,21
231,27085647,恋习课,8.4,266,50.7%,28.0%,17.3%,0.0%,4.0%,97
232,27092785,李茶的姑妈,4.6,316942,2.4%,7.2%,30.6%,37.7%,22.1%,91597
233,27102569,悲伤逆流成河,5.8,255169,7.6%,19.6%,38.0%,24.6%,10.3%,81468
234,27110296,无名之辈,8.0,1004554,28.6%,47.6%,20.6%,2.7%,0.5%,277651
235,27119392,狼图腾：一人一生一座城,9.0,251,62.1%,27.6%,8.6%,1.7%,0.0%,55
236,27124569,化茧成蝶：2016年欧洲杯纪录片,9.1,611,61.1%,33.3%,5.6%,0.0%,0.0%,128
237,27133303,超时空同居,6.8,513079,8.0%,34.3%,48.5%,8.1%,1.1%,148107
238,27167015,余英时访谈录,9.1,209,65.1%,28.9%,2.6%,0.0%,3.3%,56
239,27605698,西虹市首富,6.6,999629,10.3%,28.6%,43.6%,13.5%,4.0%,279454
240,27619748,唐人街探案3,5.3,1044707,3.6%,12.4%,41.1%,29.7%,13.2%,474983
241,27663742,老师·好,6.6,275821,9.4%,29.3%,47.1%,12.1%,2.1%,79201
242,2995169,关爱之家,9.1,295,67.5%,22.2%,9.4%,0.5%,0.5%,69
243,30122633,快把我哥带走,6.8,385920,10.7%,32.0%,44.7%,10.6%,2.0%,122628
244,3012377,神兵小将,8.8,23625,56.1%,31.9%,9.9%,1.2%,0.7%,4977
245,30128916,夺冠,7.1,429679,12.3%,39.3%,40.7%,6.6%,1.1%,143896
246,30142123,猫咪小贝,9.2,703,71.7%,19.7%,7.6%,0.2%,0.8%,150
247,30163509,飞驰人生,6.9,888033,11.4%,34.9%,41.3%,10.3%,2.2%,268811
248,30166972,少年的你,8.2,1441872,33.9%,46.6%,16.1%,2.1%,1.3%,487373
249,30171424,拆弹专家2,7.4,556428,13.4%,50.3%,32.0%,3.7%,0.5%,198365
250,30174085,怒火·重案 怒火,7.2,426781,10.0%,44.6%,40.2%,4.7%,0.6%,176169
251,30176393,误杀,7.5,873110,15.6%,50.0%,29.6%,3.9%,0.9%,267109
252,30221757,烈火英雄,6.4,313499,9.6%,24.5%,45.0%,15.8%,5.0%,107690
253,30252495,1917,8.5,502285,37.3%,50.1%,11.6%,0.8%,0.2%,152227
254,30269016,半个喜剧,7.3,543062,13.8%,44.5%,34.7%,5.7%,1.2%,159813
255,30282387,银河补习班,6.2,363103,10.4%,22.9%,41.0%,19.8%,5.9%,124163
256,30290562,优雅卫士：内斯塔,9.2,245,69.7%,21.8%,6.4%,1.1%,1.1%,50
257,30290841,决战兰州,8.7,276,52.4%,34.9%,9.5%,3.2%,0.0%,78
258,30291567,杰拉德：永不独行,9.1,466,70.0%,20.6%,6.2%,0.8%,2.4%,75
259,30292834,追风少年,9.0,238,61.0%,31.6%,5.3%,0.0%,2.1%,37
260,30295905,中国机长,6.6,724672,9.4%,29.6%,44.7%,13.5%,2.8%,239
261,30306570,囧妈,5.9,584624,5.5%,15.5%,49.9%,24.3%,4.8%,203009
262,30307233,首楞严演义,9.2,257,75.7%,11.4%,10.0%,2.9%,0.0%,82
263,30331149,白蛇：缘起,7.8,741345,23.8%,45.3%,27.1%,3.3%,0.5%,240145
264,3037329,遥望南方的童年,9.3,35894,72.2%,23.5%,3.9%,0.3%,0.1%,13360
265,30377703,来电狂响,5.7,283663,3.6%,16.8%,47.9%,25.9%,5.8%,81352
266,30413052,攀登者,6.0,314950,5.8%,19.8%,48.1%,20.5%,5.8%,110293
267,3041806,叶问 葉問,7.8,370858,19.6%,51.6%,26.7%,1.8%,0.3%,39263
268,30419843,哔哩哔哩2016拜年祭,8.7,244,54.3%,33.0%,9.1%,0.5%,3.0%,48
269,3062897,葫芦兄弟,8.9,50080,55.0%,34.6%,9.2%,0.9%,0.3%,8808
270,3069861,群英会,9.2,777,78.1%,11.8%,6.8%,0.7%,2.5%,214
271,3077412,寻龙诀,7.4,593630,17.3%,44.0%,32.5%,4.9%,1.2%,180552
272,3097352,剃头匠,9.2,19161,67.9%,26.9%,4.6%,0.3%,0.2%,5795
273,3118101,236号麋鹿,8.8,119,55.8%,28.6%,14.3%,1.3%,0.0%,39
274,3168101,毒液：致命守护者 Venom,7.2,815527,11.8%,42.0%,40.2%,5.3%,0.7%,213482
275,3173528,2008年第29届北京奥运会开幕式 Beijing 2008 Olympics Games Opening Ceremony,9.2,44778,71.6%,21.1%,5.9%,0.7%,0.7%,8649
276,3231742,钢铁侠3 Iron Man 3,7.9,418149,25.1%,45.9%,26.0%,2.4%,0.5%,93945
